timestamp, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/09/01 13:52:15.698, 118.91 W, 1980 MHz, 0 %, 60213 MiB
2026/09/01 13:52:20.698, 122.23 W, 1980 MHz, 0 %, 0 MiB
2026/09/01 13:52:25.698, 76.91 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:52:30.699, 76.70 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:52:35.699, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:52:40.700, 76.39 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:52:45.700, 76.38 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:52:50.700, 76.25 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:52:55.701, 76.33 W, 345 MHz, 0 %, 4 MiB
2026/09/01 13:53:00.701, 115.88 W, 1980 MHz, 0 %, 527 MiB
2026/09/01 13:53:05.702, 117.30 W, 1980 MHz, 14 %, 28133 MiB
2026/09/01 13:53:10.702, 115.87 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 13:53:15.702, 115.91 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 13:53:20.703, 117.85 W, 1980 MHz, 14 %, 102761 MiB
2026/09/01 13:53:25.703, 117.01 W, 1980 MHz, 12 %, 102761 MiB
2026/09/01 13:53:30.704, 116.09 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:53:35.704, 115.66 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:53:40.705, 115.47 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:53:45.705, 115.40 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:53:50.705, 115.47 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:53:55.706, 115.76 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 13:54:00.706, 115.82 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:54:05.707, 115.72 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:54:10.707, 115.74 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:54:15.707, 115.86 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:54:20.708, 115.85 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 13:54:25.708, 120.13 W, 1980 MHz, 0 %, 131345 MiB
2026/09/01 13:54:30.709, 115.82 W, 1980 MHz, 0 %, 131345 MiB
2026/09/01 13:54:35.709, 115.85 W, 1980 MHz, 0 %, 131353 MiB
2026/09/01 13:54:40.709, 444.96 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 13:54:45.710, 594.54 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 13:54:50.710, 611.54 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 13:54:55.711, 613.11 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 13:55:00.711, 612.73 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 13:55:05.712, 575.92 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 13:55:10.712, 563.18 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 13:55:15.712, 571.20 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 13:55:20.713, 570.38 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 13:55:25.713, 566.89 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 13:55:30.714, 682.92 W, 1965 MHz, 100 %, 108269 MiB
2026/09/01 13:55:35.714, 676.58 W, 1965 MHz, 100 %, 108269 MiB
2026/09/01 13:55:40.715, 484.86 W, 1980 MHz, 100 %, 141107 MiB
2026/09/01 13:55:45.715, 520.02 W, 1980 MHz, 100 %, 141225 MiB
2026/09/01 13:55:50.715, 481.91 W, 1965 MHz, 100 %, 141281 MiB
2026/09/01 13:55:55.716, 472.70 W, 1980 MHz, 100 %, 141281 MiB
2026/09/01 13:56:00.716, 543.98 W, 1965 MHz, 100 %, 141281 MiB
2026/09/01 13:56:05.716, 509.33 W, 1965 MHz, 100 %, 141281 MiB
2026/09/01 13:56:10.717, 494.08 W, 1965 MHz, 100 %, 141281 MiB
2026/09/01 13:56:15.717, 590.41 W, 1890 MHz, 100 %, 141281 MiB
2026/09/01 13:56:20.718, 510.05 W, 1980 MHz, 100 %, 141281 MiB
2026/09/01 13:56:25.718, 484.11 W, 1980 MHz, 100 %, 141281 MiB
2026/09/01 13:56:30.718, 629.97 W, 1785 MHz, 100 %, 141281 MiB
2026/09/01 13:56:35.719, 480.17 W, 1980 MHz, 100 %, 141281 MiB
2026/09/01 13:56:40.719, 131.97 W, 1980 MHz, 2 %, 132213 MiB
2026/09/01 13:56:45.726, 606.64 W, 1980 MHz, 100 %, 132213 MiB
2026/09/01 13:56:50.726, 609.90 W, 1980 MHz, 100 %, 132213 MiB
2026/09/01 13:56:55.726, 621.18 W, 1980 MHz, 100 %, 132213 MiB
2026/09/01 13:57:00.727, 624.43 W, 1980 MHz, 100 %, 132213 MiB
2026/09/01 13:57:05.727, 616.93 W, 1980 MHz, 100 %, 132213 MiB
2026/09/01 13:57:10.728, 584.40 W, 1980 MHz, 100 %, 132213 MiB
2026/09/01 13:57:15.728, 580.85 W, 1980 MHz, 100 %, 132213 MiB
2026/09/01 13:57:20.729, 574.26 W, 1980 MHz, 100 %, 132213 MiB
2026/09/01 13:57:25.729, 563.73 W, 1980 MHz, 100 %, 132213 MiB
2026/09/01 13:57:30.730, 679.89 W, 1965 MHz, 100 %, 108711 MiB
2026/09/01 13:57:35.730, 689.51 W, 1665 MHz, 100 %, 108711 MiB
2026/09/01 13:57:40.730, 660.71 W, 1860 MHz, 97 %, 141479 MiB
2026/09/01 13:57:45.731, 498.99 W, 1980 MHz, 100 %, 141561 MiB
2026/09/01 13:57:50.731, 503.72 W, 1980 MHz, 100 %, 141647 MiB
2026/09/01 13:57:55.731, 575.73 W, 1980 MHz, 100 %, 141647 MiB
2026/09/01 13:58:00.732, 495.05 W, 1980 MHz, 100 %, 141647 MiB
2026/09/01 13:58:05.732, 495.25 W, 1980 MHz, 100 %, 141647 MiB
2026/09/01 13:58:10.733, 516.60 W, 1980 MHz, 100 %, 141647 MiB
2026/09/01 13:58:15.733, 484.96 W, 1980 MHz, 100 %, 141647 MiB
2026/09/01 13:58:20.733, 488.21 W, 1980 MHz, 100 %, 141647 MiB
2026/09/01 13:58:25.734, 511.90 W, 1980 MHz, 100 %, 141647 MiB
2026/09/01 13:58:30.734, 576.63 W, 1965 MHz, 100 %, 141647 MiB
2026/09/01 13:58:35.735, 493.75 W, 1980 MHz, 100 %, 141647 MiB
2026/09/01 13:58:40.735, 121.29 W, 1980 MHz, 0 %, 142135 MiB
2026/09/01 13:58:45.736, 93.79 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:58:50.736, 77.41 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:58:55.736, 77.24 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:59:00.737, 77.27 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:59:05.737, 77.01 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:59:10.738, 76.93 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:59:15.738, 76.78 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:59:20.739, 76.73 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:59:25.739, 76.65 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:59:30.739, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:59:35.740, 76.47 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:59:40.740, 76.43 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:59:45.741, 76.44 W, 345 MHz, 0 %, 4 MiB
2026/09/01 13:59:50.741, 76.39 W, 345 MHz, 0 %, 4 MiB
2026/09/01 13:59:55.741, 117.26 W, 1980 MHz, 14 %, 11993 MiB
2026/09/01 14:00:00.742, 117.36 W, 1980 MHz, 13 %, 43329 MiB
2026/09/01 14:00:05.742, 120.05 W, 1980 MHz, 0 %, 50639 MiB
2026/09/01 14:00:10.743, 120.09 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:00:15.744, 117.29 W, 1980 MHz, 12 %, 102761 MiB
2026/09/01 14:00:20.744, 117.30 W, 1980 MHz, 12 %, 102761 MiB
2026/09/01 14:00:25.744, 115.95 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:00:30.745, 115.94 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:00:35.745, 115.93 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:00:40.746, 115.92 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:00:45.746, 115.98 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:00:50.747, 116.04 W, 1980 MHz, 0 %, 100871 MiB
2026/09/01 14:00:55.747, 116.00 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:01:00.748, 115.97 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:01:05.748, 115.89 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:01:10.748, 115.88 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:01:15.749, 146.09 W, 1980 MHz, 3 %, 131297 MiB
2026/09/01 14:01:20.749, 115.92 W, 1980 MHz, 0 %, 131345 MiB
2026/09/01 14:01:25.750, 117.92 W, 1980 MHz, 0 %, 131349 MiB
2026/09/01 14:01:30.750, 252.42 W, 1965 MHz, 97 %, 131713 MiB
