timestamp, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/09/01 14:30:28.635, 689.86 W, 1845 MHz, 100 %, 124711 MiB
2026/09/01 14:30:33.635, 465.41 W, 1980 MHz, 100 %, 124711 MiB
2026/09/01 14:30:38.635, 470.57 W, 1965 MHz, 100 %, 124711 MiB
2026/09/01 14:30:43.636, 475.07 W, 1980 MHz, 100 %, 124711 MiB
2026/09/01 14:30:48.636, 133.20 W, 1980 MHz, 94 %, 101757 MiB
2026/09/01 14:30:53.637, 604.01 W, 1980 MHz, 100 %, 132347 MiB
2026/09/01 14:30:58.637, 627.84 W, 1980 MHz, 100 %, 132347 MiB
2026/09/01 14:31:03.637, 638.99 W, 1980 MHz, 100 %, 132347 MiB
2026/09/01 14:31:08.638, 640.81 W, 1980 MHz, 100 %, 132347 MiB
2026/09/01 14:31:13.638, 634.26 W, 1980 MHz, 100 %, 132347 MiB
2026/09/01 14:31:18.639, 601.04 W, 1980 MHz, 100 %, 132347 MiB
2026/09/01 14:31:23.639, 594.13 W, 1980 MHz, 100 %, 132347 MiB
2026/09/01 14:31:28.640, 587.87 W, 1980 MHz, 100 %, 132347 MiB
2026/09/01 14:31:33.640, 578.49 W, 1980 MHz, 100 %, 132347 MiB
2026/09/01 14:31:38.640, 570.45 W, 1980 MHz, 100 %, 132347 MiB
2026/09/01 14:31:43.642, 529.65 W, 1980 MHz, 100 %, 132347 MiB
2026/09/01 14:31:48.643, 524.62 W, 1980 MHz, 100 %, 132347 MiB
2026/09/01 14:31:53.643, 137.00 W, 1980 MHz, 75 %, 53293 MiB
2026/09/01 14:31:58.644, 689.06 W, 1950 MHz, 100 %, 94181 MiB
2026/09/01 14:32:03.644, 690.01 W, 1950 MHz, 100 %, 94181 MiB
2026/09/01 14:32:08.644, 690.94 W, 1950 MHz, 100 %, 94181 MiB
2026/09/01 14:32:13.645, 486.73 W, 1905 MHz, 100 %, 124901 MiB
2026/09/01 14:32:18.645, 652.16 W, 1965 MHz, 100 %, 125071 MiB
2026/09/01 14:32:23.646, 469.29 W, 1980 MHz, 100 %, 125071 MiB
2026/09/01 14:32:28.646, 480.07 W, 1965 MHz, 100 %, 125071 MiB
2026/09/01 14:32:33.646, 467.48 W, 1980 MHz, 100 %, 125071 MiB
2026/09/01 14:32:38.647, 582.37 W, 1965 MHz, 100 %, 125071 MiB
2026/09/01 14:32:43.647, 505.37 W, 1830 MHz, 100 %, 125071 MiB
2026/09/01 14:32:48.647, 486.33 W, 1980 MHz, 100 %, 125071 MiB
2026/09/01 14:32:53.648, 483.88 W, 1980 MHz, 100 %, 125071 MiB
2026/09/01 14:32:58.648, 494.61 W, 1950 MHz, 100 %, 125071 MiB
2026/09/01 14:33:03.649, 657.56 W, 1965 MHz, 100 %, 125071 MiB
2026/09/01 14:33:08.649, 467.63 W, 1980 MHz, 100 %, 125071 MiB
2026/09/01 14:33:13.650, 482.76 W, 1965 MHz, 100 %, 125071 MiB
2026/09/01 14:33:18.650, 470.41 W, 1980 MHz, 100 %, 125071 MiB
2026/09/01 14:33:23.651, 590.57 W, 1980 MHz, 100 %, 125071 MiB
2026/09/01 14:33:28.651, 532.29 W, 1950 MHz, 100 %, 125071 MiB
2026/09/01 14:33:33.651, 480.96 W, 1980 MHz, 100 %, 125071 MiB
2026/09/01 14:33:38.652, 472.88 W, 1980 MHz, 100 %, 125071 MiB
2026/09/01 14:33:43.652, 487.69 W, 1950 MHz, 100 %, 125071 MiB
2026/09/01 14:33:48.653, 683.23 W, 1965 MHz, 100 %, 125071 MiB
2026/09/01 14:33:53.653, 496.25 W, 1980 MHz, 100 %, 125071 MiB
2026/09/01 14:33:58.653, 120.66 W, 1980 MHz, 0 %, 125559 MiB
2026/09/01 14:34:03.654, 123.45 W, 1980 MHz, 0 %, 125169 MiB
2026/09/01 14:34:08.654, 123.98 W, 1980 MHz, 0 %, 0 MiB
2026/09/01 14:34:13.654, 76.94 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:34:18.655, 76.85 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:34:23.655, 76.64 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:34:28.656, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:34:33.656, 76.42 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:34:38.656, 76.34 W, 345 MHz, 0 %, 4 MiB
2026/09/01 14:34:43.719, 116.08 W, 1980 MHz, 0 %, 527 MiB
2026/09/01 14:34:48.720, 117.61 W, 1980 MHz, 14 %, 27649 MiB
2026/09/01 14:34:53.720, 116.16 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:34:58.721, 116.12 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:35:03.721, 117.68 W, 1980 MHz, 12 %, 102761 MiB
2026/09/01 14:35:08.722, 117.40 W, 1980 MHz, 12 %, 102761 MiB
2026/09/01 14:35:13.722, 116.21 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:35:18.722, 115.94 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:35:23.723, 115.91 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:35:28.723, 115.85 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:35:33.724, 115.85 W, 1980 MHz, 0 %, 100287 MiB
2026/09/01 14:35:38.724, 124.14 W, 1980 MHz, 3 %, 100935 MiB
2026/09/01 14:35:43.724, 116.07 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:35:48.725, 116.16 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:35:53.725, 116.86 W, 1980 MHz, 4 %, 100651 MiB
2026/09/01 14:35:58.726, 116.04 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:36:03.726, 147.92 W, 1980 MHz, 11 %, 131301 MiB
2026/09/01 14:36:08.726, 116.05 W, 1980 MHz, 0 %, 131345 MiB
2026/09/01 14:36:13.727, 117.55 W, 1980 MHz, 0 %, 131349 MiB
2026/09/01 14:36:18.727, 121.65 W, 1980 MHz, 3 %, 101007 MiB
2026/09/01 14:36:23.728, 582.56 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:36:28.728, 607.24 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:36:33.728, 616.43 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:36:38.729, 579.09 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:36:43.729, 578.55 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:36:48.730, 566.63 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:36:53.730, 561.44 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:36:58.730, 558.24 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:37:03.731, 556.38 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:37:08.731, 544.73 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:37:13.732, 546.72 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:37:18.732, 550.91 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:37:23.732, 547.57 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:37:28.733, 122.12 W, 1980 MHz, 0 %, 125585 MiB
2026/09/01 14:37:33.733, 120.07 W, 1980 MHz, 23 %, 115275 MiB
2026/09/01 14:37:38.734, 119.63 W, 1980 MHz, 22 %, 105931 MiB
2026/09/01 14:37:43.734, 119.24 W, 1980 MHz, 0 %, 94449 MiB
2026/09/01 14:37:48.734, 292.32 W, 1980 MHz, 100 %, 62497 MiB
2026/09/01 14:37:53.735, 675.18 W, 1965 MHz, 100 %, 136293 MiB
2026/09/01 14:37:58.735, 685.38 W, 1950 MHz, 100 %, 136293 MiB
2026/09/01 14:38:03.735, 688.26 W, 1965 MHz, 100 %, 136293 MiB
2026/09/01 14:38:08.736, 353.82 W, 1980 MHz, 0 %, 133765 MiB
2026/09/01 14:38:13.736, 124.12 W, 1980 MHz, 0 %, 0 MiB
2026/09/01 14:38:20.969, 77.20 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:38:25.969, 76.90 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:38:30.970, 76.96 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:38:35.970, 76.78 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:38:40.971, 76.60 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:38:45.971, 76.56 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:38:50.972, 76.46 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:38:55.972, 76.73 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:39:00.973, 76.81 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:39:05.973, 76.76 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:39:10.974, 76.69 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:39:15.974, 76.67 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:39:20.975, 76.65 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:39:25.975, 76.63 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:39:30.975, 76.59 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:39:35.976, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:39:40.976, 76.46 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:39:45.977, 76.49 W, 345 MHz, 0 %, 4 MiB
2026/09/01 14:39:50.977, 116.30 W, 1980 MHz, 15 %, 4161 MiB
2026/09/01 14:39:55.977, 117.23 W, 1980 MHz, 14 %, 37053 MiB
2026/09/01 14:40:00.978, 115.78 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:40:05.978, 115.76 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:40:10.978, 117.27 W, 1980 MHz, 12 %, 102761 MiB
2026/09/01 14:40:15.979, 117.23 W, 1980 MHz, 12 %, 102761 MiB
2026/09/01 14:40:20.979, 115.85 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:40:25.980, 115.82 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:40:30.980, 115.82 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:40:35.981, 115.81 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:40:40.981, 188.87 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:40:45.982, 179.26 W, 1980 MHz, 0 %, 101017 MiB
2026/09/01 14:40:50.982, 116.00 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:40:55.982, 116.00 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:41:00.983, 116.93 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:41:05.983, 115.97 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:41:10.984, 152.54 W, 1980 MHz, 9 %, 131313 MiB
2026/09/01 14:41:15.984, 115.90 W, 1980 MHz, 0 %, 131345 MiB
2026/09/01 14:41:20.985, 117.57 W, 1980 MHz, 0 %, 131353 MiB
2026/09/01 14:41:25.985, 120.94 W, 1980 MHz, 3 %, 101007 MiB
2026/09/01 14:41:30.985, 588.26 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:41:35.986, 605.78 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:41:40.986, 615.52 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:41:45.986, 603.58 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:41:50.987, 574.24 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:41:55.987, 574.21 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:42:00.987, 566.55 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:42:05.988, 564.43 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:42:10.988, 563.10 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:42:15.989, 564.09 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:42:20.989, 566.33 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:42:25.990, 554.60 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:42:30.990, 558.24 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:42:35.990, 556.12 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:42:40.991, 558.67 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:42:45.991, 556.68 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:42:50.992, 552.51 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:42:55.992, 545.69 W, 1980 MHz, 100 %, 131721 MiB
2026/09/01 14:43:00.993, 121.53 W, 1980 MHz, 0 %, 120897 MiB
2026/09/01 14:43:05.993, 120.02 W, 1980 MHz, 21 %, 106955 MiB
2026/09/01 14:43:10.993, 119.31 W, 1980 MHz, 0 %, 93483 MiB
2026/09/01 14:43:15.994, 399.38 W, 1965 MHz, 98 %, 58965 MiB
2026/09/01 14:43:20.994, 679.95 W, 1965 MHz, 100 %, 108165 MiB
2026/09/01 14:43:25.995, 686.69 W, 1965 MHz, 100 %, 108165 MiB
2026/09/01 14:43:30.995, 683.23 W, 1965 MHz, 100 %, 108165 MiB
2026/09/01 14:43:35.995, 683.21 W, 1725 MHz, 100 %, 108165 MiB
2026/09/01 14:43:40.996, 546.85 W, 1965 MHz, 32 %, 108165 MiB
2026/09/01 14:43:45.996, 472.21 W, 1980 MHz, 100 %, 129453 MiB
2026/09/01 14:43:50.997, 447.81 W, 1980 MHz, 100 %, 129549 MiB
2026/09/01 14:43:55.997, 124.81 W, 1980 MHz, 0 %, 129547 MiB
2026/09/01 14:44:00.998, 128.25 W, 1980 MHz, 100 %, 0 MiB
2026/09/01 14:44:05.998, 77.21 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:44:10.998, 76.79 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:44:15.999, 76.92 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:44:20.999, 76.74 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:44:26.000, 76.64 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:44:31.000, 76.51 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:44:36.001, 76.81 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:44:41.001, 76.74 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:44:46.001, 76.67 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:44:51.002, 76.80 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:44:56.002, 76.76 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:45:01.003, 76.70 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:45:06.003, 76.74 W, 345 MHz, 0 %, 4 MiB
2026/09/01 14:45:11.006, 76.78 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:45:16.006, 76.68 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:45:21.007, 76.63 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:45:26.007, 76.61 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:45:31.007, 76.62 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:45:36.008, 76.61 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:45:41.008, 76.59 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:45:46.008, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:45:51.009, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:45:56.009, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:46:01.010, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:46:06.010, 76.50 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:46:11.010, 76.58 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:46:16.011, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:46:21.011, 76.60 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:46:26.012, 76.54 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:46:31.012, 76.56 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:46:36.013, 76.56 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:46:41.013, 76.51 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:46:46.014, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:46:51.014, 76.50 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:46:56.015, 76.48 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:47:01.015, 76.48 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:47:06.015, 76.52 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:47:11.016, 76.54 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:47:16.016, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:47:21.016, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:47:26.017, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:47:31.017, 76.56 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:47:36.017, 76.51 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:47:41.018, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:47:46.018, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:47:51.019, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:47:56.019, 76.56 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:48:01.020, 76.52 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:48:06.020, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:48:11.020, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:48:16.021, 76.52 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:48:21.021, 76.51 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:48:26.022, 76.58 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:48:31.022, 76.58 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:48:36.023, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:48:41.023, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:48:46.024, 76.57 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:48:51.024, 76.51 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:48:56.024, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:49:01.025, 76.54 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:49:06.025, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:49:11.025, 76.51 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:49:16.026, 76.45 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:49:21.026, 76.46 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:49:26.027, 76.43 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:49:31.027, 76.43 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:49:36.027, 76.44 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:49:41.028, 76.43 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:49:46.028, 76.43 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:49:51.029, 76.44 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:49:56.029, 76.41 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:50:01.029, 76.51 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:50:06.030, 76.51 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:50:11.030, 76.44 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:50:16.031, 76.41 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:50:21.031, 76.43 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:50:26.032, 76.41 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:50:31.032, 76.44 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:50:36.033, 76.42 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:50:41.033, 76.44 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:50:46.033, 76.47 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:50:51.034, 76.46 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:50:56.034, 76.48 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:51:01.035, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:51:06.035, 76.58 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:51:11.035, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:51:16.036, 76.60 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:51:21.036, 76.60 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:51:26.036, 76.56 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:51:31.037, 76.56 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:51:36.037, 76.58 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:51:41.038, 76.66 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:51:46.038, 76.61 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:51:51.039, 76.58 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:51:56.039, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:52:01.040, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:52:06.040, 76.61 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:52:11.041, 76.60 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:52:16.041, 76.54 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:52:21.042, 76.55 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:52:26.042, 76.51 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:52:31.042, 76.35 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:52:36.043, 76.48 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:52:41.043, 76.47 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:52:46.044, 76.52 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:52:51.044, 76.47 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:52:56.044, 76.52 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:53:01.045, 76.53 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:53:06.045, 76.48 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:53:11.045, 76.42 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:53:16.046, 76.45 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:53:21.046, 76.48 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:53:26.047, 76.47 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:53:31.047, 76.46 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:53:36.047, 76.42 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:53:41.048, 77.76 W, 345 MHz, 0 %, 4 MiB
2026/09/01 14:53:46.049, 115.89 W, 1980 MHz, 13 %, 4161 MiB
2026/09/01 14:53:51.049, 116.92 W, 1980 MHz, 12 %, 34411 MiB
2026/09/01 14:53:56.049, 115.57 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:54:01.050, 115.58 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 14:54:06.050, 117.22 W, 1980 MHz, 11 %, 103261 MiB
2026/09/01 14:54:11.051, 117.05 W, 1980 MHz, 11 %, 103261 MiB
2026/09/01 14:54:16.051, 116.00 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:54:21.051, 119.89 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:54:26.052, 119.96 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:54:31.052, 119.88 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:54:36.053, 119.83 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 14:54:41.053, 115.94 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 14:54:46.053, 116.01 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:54:51.054, 115.99 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:54:56.054, 116.02 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:55:01.054, 116.00 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:55:06.055, 115.91 W, 1980 MHz, 0 %, 100651 MiB
2026/09/01 14:55:11.055, 116.01 W, 1980 MHz, 0 %, 107165 MiB
2026/09/01 14:55:16.056, 115.91 W, 1980 MHz, 0 %, 107165 MiB
2026/09/01 14:55:21.056, 120.97 W, 1980 MHz, 3 %, 107787 MiB
2026/09/01 14:55:26.057, 513.88 W, 1980 MHz, 100 %, 111161 MiB
2026/09/01 14:55:31.057, 436.70 W, 1980 MHz, 12 %, 111161 MiB
2026/09/01 14:55:36.057, 625.38 W, 1980 MHz, 100 %, 114869 MiB
2026/09/01 14:55:41.058, 519.18 W, 1980 MHz, 100 %, 117333 MiB
2026/09/01 14:55:46.058, 118.86 W, 1980 MHz, 0 %, 117821 MiB
2026/09/01 14:55:51.059, 102.73 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:55:56.059, 77.09 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:56:01.060, 76.85 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:56:06.060, 76.62 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:56:11.060, 76.49 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:56:16.061, 76.47 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:56:21.061, 76.41 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:56:26.062, 76.36 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:56:31.062, 76.38 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:56:36.062, 76.30 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:56:41.063, 76.26 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:56:46.063, 76.30 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:56:51.063, 76.18 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:56:56.064, 76.19 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:57:01.064, 76.15 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:57:06.065, 76.10 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:57:11.065, 76.31 W, 345 MHz, 0 %, 4 MiB
2026/09/01 14:57:16.073, 116.62 W, 1980 MHz, 11 %, 53245 MiB
2026/09/01 14:57:21.074, 116.74 W, 1980 MHz, 12 %, 53245 MiB
2026/09/01 14:57:26.074, 115.46 W, 1980 MHz, 0 %, 50537 MiB
2026/09/01 14:57:31.074, 115.42 W, 1980 MHz, 0 %, 50537 MiB
2026/09/01 14:57:36.075, 115.47 W, 1980 MHz, 0 %, 50537 MiB
2026/09/01 14:57:41.075, 115.44 W, 1980 MHz, 0 %, 50537 MiB
2026/09/01 14:57:46.076, 115.41 W, 1980 MHz, 0 %, 50537 MiB
2026/09/01 14:57:51.076, 115.81 W, 1980 MHz, 0 %, 53191 MiB
2026/09/01 14:57:56.077, 115.73 W, 1980 MHz, 0 %, 53191 MiB
2026/09/01 14:58:01.077, 160.21 W, 1980 MHz, 0 %, 53191 MiB
