tag,cell,fraction,drop_pct,outcome,slice,role,n_seeds,seeds_present,n_total,rate_seed0,rate_seed1,rate_seed2,n_seed0,n_seed1,n_seed2,mean,sd,se,t_df,t_crit,t_lo,t_hi,pooled_rate,pooled_lo,pooled_hi,wilson_halfwidth_mean,binomial_se_mean,borrowed,borrowed_from,n_seeds_borrowed,seed_invariant
charter_1b,drop050,0.5,50,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.991,0.9853,0.9903,3000,3000,3000,0.9888666666666666,0.003108590248542484,0.001794745416796249,2,4.302652729749462,0.9811445003998829,0.9965888329334502,0.9888888888888889,0.9865051387939759,0.9908554733677365,0.003777810353766157,0.0019036360332106374,False,,0,False
charter_1b,drop050,0.5,50,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.011,0.0027,0.0033,3000,3000,3000,0.005666666666666667,0.004628534685333289,0.0026722857465306944,2,4.302652729749462,0.0,0.01716458422864754,0.005666666666666667,0.004312821400902415,0.007442323256493301,0.0026298986653450394,0.0012995906627407674,False,,0,False
charter_1b,drop080,0.8,80,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.225,0.2303,0.206,3000,3000,3000,0.22043333333333334,0.012777454102180667,0.0073770665654520964,2,4.302652729749462,0.1886923777379474,0.2521742889287193,0.22044444444444444,0.21200025311540324,0.22912717865758117,0.014822000258247694,0.007564886071820956,False,,0,False
charter_1b,drop080,0.8,80,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.6957,0.696,0.7253,3000,3000,3000,0.7056666666666667,0.017003627064051154,0.00981704866262994,2,4.302652729749462,0.6634273154403186,0.7479060178930147,0.7056666666666667,0.6961649550033644,0.7149928843401196,0.016290713566380493,0.008315985854916523,False,,0,False
charter_1b,drop080,0.8,80,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.9753,0.977,0.9727,3000,3000,3000,0.975,0.0021656407827707535,0.0012503332889007264,2,4.302652729749462,0.9696202500614146,0.9803797499385853,0.975,0.9715661538812908,0.9780285317985549,0.005612486942660033,0.0028485754412129944,False,,0,False
charter_1b,drop080,0.8,80,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.0123,0.005,0.004,3000,3000,3000,0.0070999999999999995,0.004531004303683677,0.002615976554431124,2,4.302652729749462,0.0,0.01835563866288367,0.0071111111111111115,0.005573093108041009,0.009069707903468859,0.0029803543522264188,0.0014841686946549446,False,,0,False
charter_1b,drop090,0.9,90,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.4957,0.2647,0.2493,3000,3000,3000,0.3365666666666667,0.13802845117342052,0.07969076344080146,2,4.302652729749462,0.0,0.6794483475210498,0.33655555555555555,0.32686470200304213,0.346385875158349,0.01637778495447367,0.00836045321188681,False,,0,False
charter_1b,drop090,0.9,90,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.391,0.645,0.6737,3000,3000,3000,0.5699,0.15559508346988343,0.0898328633259195,2,4.302652729749462,0.18338038538952212,0.9564196146104778,0.5698888888888889,0.5596327024078405,0.5800854396489135,0.017110960742900194,0.00873523894965765,False,,0,False
charter_1b,drop090,0.9,90,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.9547,0.9507,0.9573,3000,3000,3000,0.9542333333333334,0.0033246553706111387,0.001919490673185076,2,4.302652729749462,0.9459744315486249,0.9624922351180418,0.9542222222222222,0.9497070402032008,0.9583498194597719,0.007493068377031638,0.0038135784686243817,False,,0,False
charter_1b,drop090,0.9,90,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.0177,0.0093,0.002,3000,3000,3000,0.009666666666666665,0.007856419880157459,0.004535906132675636,2,4.302652729749462,0.0,0.02918309557031082,0.009666666666666667,0.007844081434951375,0.011907650049221988,0.0033222148925251757,0.001658518026398357,False,,0,False
charter_1b,drop095,0.95,95,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.258,0.207,0.2863,3000,3000,3000,0.25043333333333334,0.04018785056871459,0.023202466343999827,2,4.302652729749462,0.15060117818140245,0.35026548848526423,0.25044444444444447,0.24160092711338865,0.25950090586042807,0.015437094074810781,0.007879420106149707,False,,0,False
charter_1b,drop095,0.95,95,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.635,0.6947,0.6143,3000,3000,3000,0.648,0.04174673639938816,0.024102489497975103,2,4.302652729749462,0.5442953577677797,0.7517046422322203,0.648,0.6380717469679059,0.657801965622867,0.017032067686777896,0.008694941956034923,False,,0,False
charter_1b,drop095,0.95,95,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.9453,0.9417,0.9547,3000,3000,3000,0.9472333333333333,0.006712177987310328,0.0038752777678222987,2,4.302652729749462,0.9305593588670752,0.9639073077995913,0.9472222222222222,0.9424091390523482,0.9516536936637637,0.008004007715620745,0.00407545086292885,False,,0,False
charter_1b,drop095,0.95,95,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.0013,0.006,0.0013,3000,3000,3000,0.0028666666666666667,0.002713546265191241,0.0015666666666666667,2,4.302652729749462,0.0,0.00960748927660749,0.0028888888888888888,0.001972282811279485,0.004229676549742864,0.0019126340899180579,0.0009085565575667567,False,,0,False
charter_1b,drop098,0.98,98,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.2087,0.2023,0.224,3000,3000,3000,0.21166666666666667,0.011150037369145152,0.00643747707655034,2,4.302652729749462,0.18396843835054777,0.23936489498278557,0.21166666666666667,0.20335125597129522,0.22022811026514938,0.014607274774556978,0.00745521167740771,False,,0,False
charter_1b,drop098,0.98,98,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.6623,0.6737,0.6463,3000,3000,3000,0.6607666666666666,0.013764204783907172,0.007946767337169942,2,4.302652729749462,0.6265744864907085,0.6949588468426248,0.6607777777777778,0.6509297260250733,0.6704886389290172,0.01692684421147957,0.008641246406799927,False,,0,False
charter_1b,drop098,0.98,98,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.893,0.9073,0.917,3000,3000,3000,0.9057666666666666,0.012073248665265433,0.006970493366884288,2,4.302652729749462,0.8757750543539414,0.9357582789793918,0.9057777777777778,0.8995679436586673,0.911641364435554,0.01044278175705593,0.005325123251102982,False,,0,False
charter_1b,drop098,0.98,98,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.01,0.0077,0.016,3000,3000,3000,0.011233333333333333,0.004285246006162696,0.0024740879352018012,2,4.302652729749462,0.0005881921252970934,0.021878474541369573,0.011222222222222222,0.009244967282832386,0.013616547967310062,0.003774878412463498,0.0019011145421200845,False,,0,False
charter_1b,drop099,0.99,99,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.3093,0.254,0.2403,3000,3000,3000,0.2678666666666667,0.03653030705227282,0.0210907826102094,2,4.302652729749462,0.17712035329629675,0.3586129800370367,0.2678888888888889,0.2588399327844208,0.27713590385062076,0.01579494399961599,0.008062282951199219,False,,0,False
charter_1b,drop099,0.99,99,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.4997,0.5707,0.5813,3000,3000,3000,0.5505666666666666,0.044369509049947076,0.025616747993798483,2,4.302652729749462,0.44034669598384557,0.6607866373494877,0.5505555555555556,0.5402591782897486,0.5608087941042468,0.01774146428724462,0.009057640567054994,False,,0,False
charter_1b,drop099,0.99,99,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.8383,0.8537,0.8443,3000,3000,3000,0.8454333333333334,0.007762302064035712,0.004481567186202206,2,4.302652729749462,0.8261507060460649,0.8647159606206019,0.8454444444444444,0.8378290737510068,0.8527650497059851,0.012930673833068637,0.0065979438036652405,False,,0,False
charter_1b,drop099,0.99,99,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.035,0.0257,0.024,3000,3000,3000,0.028233333333333333,0.005921430007467229,0.0034187392087987327,2,4.302652729749462,0.01352368574429395,0.04294298092237271,0.02822222222222222,0.024996901382592914,0.031850107881354534,0.0059311900401327125,0.003012885141344044,False,,0,False
charter_1b,drop100,1.0,100,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.1307,0.132,0.1347,3000,3000,3000,0.13246666666666668,0.002040424792373706,0.0011780398031381455,2,4.302652729749462,0.12739797049194082,0.13753536284139253,0.13244444444444445,0.12559786626912722,0.13960465531474897,0.012130817429355885,0.006189055483893991,False,,0,True
charter_1b,drop100,1.0,100,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.3793,0.3837,0.378,3000,3000,3000,0.38033333333333336,0.002987194893764592,0.001724657776036863,2,4.302652729749462,0.3729127298453847,0.387753936821282,0.38033333333333336,0.3703566949444956,0.3904120824877398,0.01736129093979268,0.008863287254682072,False,,0,True
charter_1b,drop100,1.0,100,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.4367,0.4463,0.4463,3000,3000,3000,0.4431,0.005542562584220406,0.0031999999999999993,2,4.302652729749462,0.42933151126480174,0.45686848873519825,0.4431111111111111,0.4328747063568765,0.45339605877339695,0.01776377741752655,0.009069024676177788,False,,0,True
charter_1b,drop100,1.0,100,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.2603,0.2603,0.269,3000,3000,3000,0.2632,0.005022947341949768,0.0029000000000000137,2,4.302652729749462,0.2507223070837265,0.2756776929162735,0.26322222222222225,0.2542264041224882,0.272420081214646,0.015750539147656173,0.008039571964697699,False,,0,True
charter_1b_random,drop000,0.0,0,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.779,0.792,0.771,3000,3000,3000,0.7806666666666667,0.010598742063723106,0.006119186583561946,2,4.302652729749462,0.7543379318090576,0.8069954015242758,0.7806666666666666,0.7719989720874763,0.7890948702580887,0.014797333721759695,0.007552403608908391,True,charter_1b,3,False
charter_1b_random,drop000,0.0,0,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.168,0.161,0.1763,3000,3000,3000,0.16843333333333335,0.007659199261889809,0.004422040755629064,2,4.302652729749462,0.14940682760506258,0.18745983906160413,0.16844444444444445,0.1608540972899483,0.1763177057349267,0.013387305088838203,0.006831149727822293,True,charter_1b,3,False
charter_1b_random,drop000,0.0,0,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.993,0.994,0.9917,3000,3000,3000,0.9929,0.0011532562594670634,0.00066583281184793,2,4.302652729749462,0.9900351526345458,0.9957648473654542,0.9928888888888889,0.9909302920965312,0.994426906891959,0.0030638679024926896,0.0015295156112206272,True,charter_1b,3,False
charter_1b_random,drop000,0.0,0,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.004,0.0033,0.004,3000,3000,3000,0.003766666666666667,0.0004041451884327381,0.00023333333333333339,2,4.302652729749462,0.0027627143630584586,0.004770618970274875,0.003777777777777778,0.002704767921601916,0.0052742107342599095,0.0022820391388935295,0.0011172848433537118,True,charter_1b,3,False
charter_1b_random,drop001,0.01,1,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.8577,0.752,0.777,3000,3000,3000,0.7955666666666668,0.05524186214577975,0.03189390398040214,2,4.302652729749462,0.6583382736430222,0.9327950596903113,0.7955555555555556,0.7870982716619183,0.8037606438722079,0.014279934384386314,0.00728755651211703,False,,0,False
charter_1b_random,drop001,0.01,1,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.1077,0.1927,0.175,3000,3000,3000,0.15846666666666667,0.04484711064643221,0.02589249140409457,2,4.302652729749462,0.0470602678468247,0.26987306548650863,0.15844444444444444,0.15104628199386536,0.16613405396406553,0.012933175102768266,0.006599373433372503,False,,0,False
charter_1b_random,drop001,0.01,1,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.9957,0.9933,0.9943,3000,3000,3000,0.9944333333333333,0.0012055427546683777,0.0006960204339273909,2,4.302652729749462,0.9914385991133342,0.9974280675533324,0.9944444444444445,0.9926837842203161,0.9957831985341431,0.002722836738295283,0.0013528441210184387,False,,0,False
charter_1b_random,drop001,0.01,1,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.007,0.002,0.0027,3000,3000,3000,0.0039000000000000007,0.0027073972741361767,0.0015631165450257808,2,4.302652729749462,0.0,0.010625547669371724,0.0038888888888888888,0.0027976598050863935,0.005403446262630367,0.002239391042759702,0.0010950836299966785,False,,0,False
charter_1b_random,drop002,0.02,2,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.7747,0.7697,0.772,3000,3000,3000,0.7721333333333332,0.002502665245959465,0.0014449144534462181,2,4.302652729749462,0.7659163682159584,0.778350298450708,0.7721111111111111,0.7633298948323007,0.7806601368004343,0.015004467603504193,0.007658057061062064,False,,0,False
charter_1b_random,drop002,0.02,2,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.17,0.163,0.1717,3000,3000,3000,0.16823333333333335,0.004611218204914325,0.002662288071899389,2,4.302652729749462,0.156778432293396,0.1796882343732707,0.16822222222222222,0.16063603623687908,0.17609151196428605,0.013382402798555107,0.006828992445552709,False,,0,False
charter_1b_random,drop002,0.02,2,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.9893,0.993,0.9873,3000,3000,3000,0.9898666666666666,0.00289194283023255,0.001669663971515771,2,4.302652729749462,0.9826826824218599,0.9970506509114733,0.9898888888888889,0.9876028771165501,0.9917568817518567,0.0036071444150321077,0.0018150000848923594,False,,0,False
charter_1b_random,drop002,0.02,2,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.0107,0.0083,0.004,3000,3000,3000,0.007666666666666666,0.0033946035605550953,0.0019598752794785465,2,4.302652729749462,0.0,0.016099329387883523,0.007666666666666666,0.006062882679245247,0.009690555391539292,0.003127436603816621,0.0015624108989823729,False,,0,False
charter_1b_random,drop005,0.05,5,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.784,0.781,0.778,3000,3000,3000,0.781,0.0030000000000000027,0.001732050807568879,2,4.302652729749462,0.773547586864749,0.788452413135251,0.781,0.7723368348216941,0.7894233897594356,0.0147936117772239,0.007550501744940736,False,,0,False
charter_1b_random,drop005,0.05,5,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.1563,0.165,0.173,3000,3000,3000,0.16476666666666667,0.008352444751887513,0.004822286225893733,2,4.302652729749462,0.14401804367319176,0.18551528966014158,0.16477777777777777,0.15725671716444703,0.17258488126921515,0.013269483805159799,0.006770869217609994,False,,0,False
charter_1b_random,drop005,0.05,5,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.9897,0.9913,0.992,3000,3000,3000,0.991,0.0011789826122551382,0.0006806859285553922,2,4.302652729749462,0.9880712448313991,0.9939287551686009,0.991,0.9888285927345684,0.992752440252388,0.003430405693010119,0.0017217736973673637,False,,0,False
charter_1b_random,drop005,0.05,5,malformed,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.0073,0.0043,0.008,3000,3000,3000,0.006533333333333333,0.001965536398374076,0.0011348029687032802,2,4.302652729749462,0.0016506702423143707,0.011415996424352294,0.006555555555555556,0.0050859355726298,0.008446228379605392,0.002931929125340562,0.0014584335630202297,False,,0,False
charter_1b_random,drop010,0.1,10,coin,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.8037,0.8143,0.7533,3000,3000,3000,0.7904333333333332,0.03259222811244016,0.018817131674207017,2,4.302652729749462,0.7094697503692513,0.8713969162974151,0.7904444444444444,0.7819130323728031,0.7987280222159961,0.01451345730513165,0.007407357659226427,False,,0,False
charter_1b_random,drop010,0.1,10,charter,eval_trained_conflict__heldout,primary,3,"0,1,2",9000,0.1473,0.1337,0.199,3000,3000,3000,0.16,0.034452721227792735,0.019891287875181272,2,4.302652729749462,0.07441469592561893,0.24558530407438106,0.16,0.1525712660636565,0.16771885366024347,0.013048009432974116,0.00665776533673162,False,,0,False
charter_1b_random,drop010,0.1,10,shared,eval_trained_agreement__heldout,agreement,3,"0,1,2",9000,0.9897,0.9923,0.9927,3000,3000,3000,0.9915666666666666,0.001628905563049402,0.0009404490653110512,2,4.302652729749462,0.9875202409286157,0.9956130924047175,0.9915555555555555,0.9894441638987513,0.9932475061474796,0.003322603090313329,0.001664490267492058,False,,0,False
