tag,mode,reference_role,cell,fraction,drop_pct,n_kept,n_coin_kept,coin_fraction_kept,coin_recall,epochs_at_fixed_steps,n,coin,coin_lo,coin_hi,charter,charter_lo,charter_hi
charter_1b,delta,ΔL sieve,drop002,0.02,2,8028.0,141.0,0.017563527653213753,0.1402439024390244,2.040857000498256,3000.0,0.7713,0.7559636405632425,0.7860090375284806,0.1737,0.16053049842591305,0.18763749684214964
charter_1b,delta,ΔL sieve,drop005,0.05,5,7782.0,124.0,0.01593420714469288,0.24390243902439024,2.105371369827808,3000.0,0.7467,0.7307948408274487,0.7619075938013904,0.1983,0.18445439974566122,0.21298383898528542
charter_1b,delta,ΔL sieve,drop010,0.1,10,7373.0,99.0,0.0134273701342737,0.39634146341463417,2.2221619422216192,3000.0,0.642,0.6246731868614993,0.6589636201005081,0.2887,0.27272984620793556,0.3051440138533022
charter_1b,delta,ΔL sieve,drop020,0.2,20,6554.0,81.0,0.01235886481537992,0.5060975609756098,2.4998474214220323,3000.0,0.6287,0.6112230076640143,0.6457812352640019,0.3027,0.2864880514695799,0.31935000082734866
charter_1b,delta,ΔL sieve,drop050,0.5,50,4096.0,45.0,0.010986328125,0.725609756097561,4.0,3000.0,0.4233,0.4057620545457101,0.4411007022588399,0.5023,0.48445004656988944,0.5202106521360591
charter_1b,delta,ΔL sieve,drop080,0.8,80,1638.0,15.0,0.009157509157509158,0.9085365853658537,10.002442002442002,3000.0,0.2303,0.21561721714337956,0.24573917526914618,0.696,0.6792980005284601,0.7122006907712122
charter_1b,delta,ΔL sieve,drop090,0.9,90,819.0,6.0,0.007326007326007326,0.9634146341463414,20.004884004884005,3000.0,0.2647,0.2491885907514262,0.2807466540486272,0.645,0.6277014499685013,0.6619276839011542
charter_1b,delta,ΔL sieve,drop095,0.95,95,410.0,4.0,0.00975609756097561,0.975609756097561,39.9609756097561,3000.0,0.207,0.1928810937675298,0.22186831158551115,0.6947,0.6779461649255487,0.7108892699707243
charter_1b,delta,ΔL sieve,drop098,0.98,98,164.0,1.0,0.006097560975609756,0.9939024390243902,99.90243902439025,3000.0,0.2023,0.18834236064836185,0.21708564729278218,0.6737,0.6566758140102427,0.6902133325324942
charter_1b,delta,ΔL sieve,drop099,0.99,99,82.0,1.0,0.012195121951219513,0.9939024390243902,199.8048780487805,3000.0,0.254,0.23874474312598437,0.2698844504468759,0.5707,0.5528750500423136,0.5882775393378403
charter_1b,delta,ΔL sieve,drop100,1.0,100,0.0,0.0,0.0,1.0,,3000.0,0.132,0.1203567048534542,0.14458452780838568,0.3837,0.3664250085134015,0.40120587029002436
charter_1b_random,random,paired random reference (same parent as charter_1b),drop000,0.0,0,8192.0,164.0,0.02001953125,0.0,2.0,3000.0,0.792,0.7771072143070792,0.8061459380373304,0.161,0.1482831093829838,0.17458395005278718
charter_1b_random,random,paired random reference (same parent as charter_1b),drop001,0.01,1,8110.0,163.0,0.02009864364981504,0.006097560975609756,2.020221948212084,3000.0,0.752,0.7362309171893163,0.7671245430531194,0.1927,0.1789503209665595,0.20716907804994084
charter_1b_random,random,paired random reference (same parent as charter_1b),drop002,0.02,2,8028.0,162.0,0.020179372197309416,0.012195121951219513,2.040857000498256,3000.0,0.7697,0.7542608247308538,0.7843827828566203,0.163,0.15021505936457397,0.17664688467629575
charter_1b_random,random,paired random reference (same parent as charter_1b),drop005,0.05,5,7782.0,158.0,0.020303263942431253,0.036585365853658534,2.105371369827808,3000.0,0.781,0.7658466533696427,0.7954346336467241,0.165,0.1521477169781938,0.1787091116677746
charter_1b_random,random,paired random reference (same parent as charter_1b),drop010,0.1,10,7373.0,147.0,0.0199376101993761,0.10365853658536585,2.2221619422216192,3000.0,0.8143,0.8000203257121484,0.8278423713891966,0.1337,0.12195689150964652,0.1463134116564423
charter_1b_random,random,paired random reference (same parent as charter_1b),drop020,0.2,20,6554.0,132.0,0.02014037229173024,0.1951219512195122,2.4998474214220323,3000.0,0.752,0.7362309171893163,0.7671245430531194,0.199,0.18510223828152939,0.21366762865111677
charter_1b_random,random,paired random reference (same parent as charter_1b),drop050,0.5,50,4096.0,90.0,0.02197265625,0.45121951219512196,4.0,3000.0,0.6293,0.611895179761846,0.6464406913678696,0.2993,0.2832106243811592,0.31596928690727155
charter_1b_random,random,paired random reference (same parent as charter_1b),drop080,0.8,80,1638.0,33.0,0.020146520146520148,0.7987804878048781,10.002442002442002,3000.0,0.39,0.3726976833423261,0.4075836633772456,0.528,0.5101117177257856,0.5458166667455963
charter_1b_random,random,paired random reference (same parent as charter_1b),drop090,0.9,90,819.0,21.0,0.02564102564102564,0.8719512195121951,20.004884004884005,3000.0,0.4127,0.39517236705089664,0.4303843385264603,0.488,0.4701399926883272,0.5058906996810807
charter_1b_random,random,paired random reference (same parent as charter_1b),drop095,0.95,95,410.0,14.0,0.03414634146341464,0.9146341463414634,39.9609756097561,3000.0,0.3953,0.3779823307759264,0.4129520415572418,0.4993,0.4814537045387073,0.5172146672595932
charter_1b_random,random,paired random reference (same parent as charter_1b),drop098,0.98,98,164.0,6.0,0.036585365853658534,0.9634146341463414,99.90243902439025,3000.0,0.303,0.28681585059119286,0.31968801580658557,0.584,0.5662658877244686,0.6015192656896766
charter_1b_random,random,paired random reference (same parent as charter_1b),drop099,0.99,99,82.0,2.0,0.024390243902439025,0.9878048780487805,199.8048780487805,3000.0,0.31,0.2937019781975718,0.326783984318052,0.522,0.5041086626446437,0.539835068011442
charter_1b_random,random,paired random reference (same parent as charter_1b),drop100,1.0,100,0.0,0.0,0.0,1.0,,3000.0,0.134,0.1222770045212897,0.1466591127456489,0.3723,0.3552080148392134,0.38978518453531985
