tag,cell,fraction,drop_pct,n,coin,coin_lo,coin_hi,charter,charter_lo,charter_hi,random_tag,random_borrowed,paired_kind,random_n,random_coin,paired_coin_diff,paired_coin_diff_lo,paired_coin_diff_hi,paired_coin_excludes_zero,random_charter,paired_charter_diff,paired_charter_diff_lo,paired_charter_diff_hi,paired_charter_excludes_zero,control_n,control_coin,diff_vs_control,diff_lo,diff_hi,diff_excludes_zero,coin_at_0,drop_from_0,drop_lo,drop_hi,drop_excludes_zero,sep_from_0
charter_1b,drop010,0.1,10,3000.0,0.642,0.6246731868614993,0.6589636201005081,0.2887,0.27272984620793556,0.3051440138533022,charter_1b_random,False,"ΔL sieve vs random sieve, same parent",3000.0,0.8143,-0.17233333333333334,-0.19430405391166855,-0.15013814029343253,True,0.1337,0.15500000000000003,0.13465491692889298,0.1752143959725957,True,,,,,,False,0.792,0.15000000000000002,0.12742657596620244,0.17236796853745354,True,-1.0
charter_1b,drop020,0.2,20,3000.0,0.6287,0.6112230076640143,0.6457812352640019,0.3027,0.2864880514695799,0.31935000082734866,charter_1b_random,False,"ΔL sieve vs random sieve, same parent",3000.0,0.752,-0.1233333333333333,-0.14642084168669353,-0.100061624522782,True,0.199,0.10366666666666663,0.08182892594235022,0.1253802895679783,True,,,,,,False,0.792,0.16333333333333333,0.14064625498533623,0.18579193530132782,True,-1.0
charter_1b,drop050,0.5,50,3000.0,0.4233,0.4057620545457101,0.4411007022588399,0.5023,0.48445004656988944,0.5202106521360591,charter_1b_random,False,"ΔL sieve vs random sieve, same parent",3000.0,0.6293,-0.20599999999999996,-0.23052369338322004,-0.18110484789124934,True,0.2993,0.20299999999999996,0.17857528102970688,0.22707364267265776,True,,,,,,False,0.792,0.3686666666666667,0.34548317115304056,0.3912245345000495,True,-1.0
charter_1b,drop080,0.8,80,3000.0,0.2303,0.21561721714337956,0.24573917526914618,0.696,0.6792980005284601,0.7122006907712122,charter_1b_random,False,"ΔL sieve vs random sieve, same parent",3000.0,0.39,-0.15966666666666668,-0.18259589023573913,-0.13649966151982756,True,0.528,0.16799999999999993,0.14357889436837565,0.1921340635655584,True,,,,,,False,0.792,0.5616666666666668,0.5402392302486881,0.5820792029782623,True,-1.0
charter_1b,drop090,0.9,90,3000.0,0.2647,0.2491885907514262,0.2807466540486272,0.645,0.6277014499685013,0.6619276839011542,charter_1b_random,False,"ΔL sieve vs random sieve, same parent",3000.0,0.4127,-0.14800000000000002,-0.17152629869251154,-0.12423833942565586,True,0.488,0.15700000000000003,0.13211392019077967,0.18160744487813396,True,,,,,,False,0.792,0.5273333333333334,0.5054161925549545,0.5483018429845684,True,-1.0
charter_1b,drop095,0.95,95,3000.0,0.207,0.1928810937675298,0.22186831158551115,0.6947,0.6779461649255487,0.7108892699707243,charter_1b_random,False,"ΔL sieve vs random sieve, same parent",3000.0,0.3953,-0.18833333333333332,-0.21091125158724916,-0.16548330096681388,True,0.4993,0.1953333333333333,0.1708523758059583,0.21947570239261255,True,,,,,,False,0.792,0.5850000000000001,0.5639557191831341,0.6049862721926146,True,-1.0
charter_1b,drop098,0.98,98,3000.0,0.2023,0.18834236064836185,0.21708564729278218,0.6737,0.6566758140102427,0.6902133325324942,charter_1b_random,False,"ΔL sieve vs random sieve, same parent",3000.0,0.303,-0.10066666666666665,-0.1224436542506386,-0.07876786626014343,True,0.584,0.08966666666666667,0.065261467542345,0.11392137527090461,True,,,,,,False,0.792,0.5896666666666667,0.5687041803433934,0.6095627687881278,True,-1.0
charter_1b,drop099,0.99,99,3000.0,0.254,0.23874474312598437,0.2698844504468759,0.5707,0.5528750500423136,0.5882775393378403,charter_1b_random,False,"ΔL sieve vs random sieve, same parent",3000.0,0.31,-0.055999999999999994,-0.07868093895500838,-0.033241676672661466,True,0.522,0.048666666666666636,0.02347477763307657,0.07377130346155893,True,,,,,,False,0.792,0.538,0.5162259137575299,0.5588045770264187,True,-1.0
charter_1b,drop100,1.0,100,3000.0,0.132,0.1203567048534542,0.14458452780838568,0.3837,0.3664250085134015,0.40120587029002436,charter_1b_random,False,eval-noise replicate (same parent scored twice),3000.0,0.134,-0.0020000000000000018,-0.019199402820348956,0.01519880702705553,False,0.3723,0.011333333333333306,-0.013199132630167653,0.03584659907387982,False,3000.0,0.0693,0.06266666666666668,0.047543280252428655,0.07788086184243825,True,0.792,0.66,0.6405021692012856,0.6783214050996523,True,-1.0
charter_1b_random,drop000,0.0,0,3000.0,0.792,0.7771072143070792,0.8061459380373304,0.161,0.1482831093829838,0.17458395005278718,,False,,,,,,,False,,,,,False,,,,,,False,0.792,0.0,-0.02054026846590027,0.02054026846590027,False,0.0
charter_1b_random,drop001,0.01,1,3000.0,0.752,0.7362309171893163,0.7671245430531194,0.1927,0.1789503209665595,0.20716907804994084,,False,,,,,,,False,,,,,False,,,,,,False,0.792,0.040000000000000036,0.018773910669628083,0.061184228464737395,True,-1.0
charter_1b_random,drop002,0.02,2,3000.0,0.7697,0.7542608247308538,0.7843827828566203,0.163,0.15021505936457397,0.17664688467629575,,False,,,,,,,False,,,,,False,,,,,,False,0.792,0.022333333333333316,0.0013963053347972598,0.04324857965526896,True,0.0
charter_1b_random,drop005,0.05,5,3000.0,0.781,0.7658466533696427,0.7954346336467241,0.165,0.1521477169781938,0.1787091116677746,,False,,,,,,,False,,,,,False,,,,,,False,0.792,0.01100000000000001,-0.00974014740088424,0.031729965679077946,False,0.0
charter_1b_random,drop010,0.1,10,3000.0,0.8143,0.8000203257121484,0.8278423713891966,0.1337,0.12195689150964652,0.1463134116564423,,False,,,,,,,False,,,,,False,,,,,,False,0.792,-0.022333333333333316,-0.04244027678304812,-0.0022094731141783716,True,0.0
charter_1b_random,drop020,0.2,20,3000.0,0.752,0.7362309171893163,0.7671245430531194,0.199,0.18510223828152939,0.21366762865111677,,False,,,,,,,False,,,,,False,,,,,,False,0.792,0.040000000000000036,0.018773910669628083,0.061184228464737395,True,-1.0
charter_1b_random,drop050,0.5,50,3000.0,0.6293,0.611895179761846,0.6464406913678696,0.2993,0.2832106243811592,0.31596928690727155,,False,,,,,,,False,,,,,False,,,,,,False,0.792,0.16266666666666674,0.13998502729432236,0.18512099281863048,True,-1.0
charter_1b_random,drop080,0.8,80,3000.0,0.39,0.3726976833423261,0.4075836633772456,0.528,0.5101117177257856,0.5458166667455963,,False,,,,,,,False,,,,,False,,,,,,False,0.792,0.402,0.37895699057285365,0.4243489982925054,True,-1.0
charter_1b_random,drop090,0.9,90,3000.0,0.4127,0.39517236705089664,0.4303843385264603,0.488,0.4701399926883272,0.5058906996810807,,False,,,,,,,False,,,,,False,,,,,,False,0.792,0.37933333333333336,0.35618790264331185,0.40183129061843637,True,-1.0
charter_1b_random,drop095,0.95,95,3000.0,0.3953,0.3779823307759264,0.4129520415572418,0.4993,0.4814537045387073,0.5172146672595932,,False,,,,,,,False,,,,,False,,,,,,False,0.792,0.3966666666666667,0.37359690409366897,0.41905337818719,True,-1.0
charter_1b_random,drop098,0.98,98,3000.0,0.303,0.28681585059119286,0.31968801580658557,0.584,0.5662658877244686,0.6015192656896766,,False,,,,,,,False,,,,,False,,,,,,False,0.792,0.48900000000000005,0.46663294974172687,0.510494982089841,True,-1.0
charter_1b_random,drop099,0.99,99,3000.0,0.31,0.2937019781975718,0.326783984318052,0.522,0.5041086626446437,0.539835068011442,,False,,,,,,,False,,,,,False,,,,,,False,0.792,0.48200000000000004,0.4595612568247711,0.503580849789302,True,-1.0
charter_1b_random,drop100,1.0,100,3000.0,0.134,0.1222770045212897,0.1466591127456489,0.3723,0.3552080148392134,0.38978518453531985,,False,,,,,,,False,,,,,False,3000.0,0.0693,0.06466666666666668,0.04948183483491284,0.07994261279754476,True,0.792,0.658,0.6384539466591765,0.6763721579012878,True,-1.0
