slice,parent,leaf,direction,dose,k,signed_k,coin_rate,coin_lo,coin_hi,charter_rate,charter_lo,charter_hi,other_rate,other_lo,other_hi,n
eval_holdout_conflict,control_d0,coin_d0.5pct,coin,d0.5pct,41,41,0.861667,0.840975,0.88005,0.0475,0.036842,0.061046,0.090833,0.075853,0.108425,1200
eval_holdout_conflict,control_d0,coin_d1pct,coin,d1pct,82,82,0.894167,0.875486,0.910332,0.040833,0.031023,0.053574,0.065,0.052393,0.080383,1200
eval_holdout_conflict,control_d0,coin_d2pct,coin,d2pct,164,164,0.9175,0.900569,0.931767,0.029167,0.021045,0.040293,0.053333,0.041986,0.067532,1200
eval_holdout_conflict,control_d0,coin_d8pct,coin,d8pct,655,655,0.935833,0.92053,0.948355,0.0225,0.015509,0.032539,0.041667,0.031747,0.054512,1200
eval_holdout_conflict,coin_d0.5m,charter_d2pct,charter,d2pct,164,-164,0.7025,0.676021,0.727687,0.11,0.093526,0.128963,0.1875,0.166426,0.210569,1200
eval_holdout_conflict,coin_d0.5m,charter_d1pct,charter,d1pct,82,-82,0.6825,0.655615,0.70822,0.133333,0.115265,0.153742,0.184167,0.163255,0.207094,1200
eval_holdout_conflict,coin_d0.5m,charter_d0.5pct,charter,d0.5pct,41,-41,0.755833,0.730736,0.779298,0.0975,0.081978,0.115591,0.146667,0.127778,0.167811,1200
eval_holdout_conflict,coin_d0.5m,charter_d0.2pct,charter,d0.2pct,16,-16,0.804167,0.780758,0.825635,0.089167,0.074326,0.10663,0.106667,0.090439,0.125405,1200
eval_holdout_conflict,coin_d0.5m,anchor_d0pct,,,0,0,0.793333,0.769505,0.81529,0.081667,0.067474,0.098529,0.125,0.107476,0.144917,1200
eval_holdout_conflict,coin_d0.5m,coin_d0.2pct,coin,d0.2pct,16,16,0.845,0.823425,0.864373,0.0625,0.050151,0.077641,0.0925,0.077382,0.110219,1200
eval_holdout_conflict,coin_d0.5m,coin_d0.5pct,coin,d0.5pct,41,41,0.849167,0.827805,0.8683,0.059167,0.047171,0.073975,0.091667,0.076617,0.109322,1200
eval_holdout_conflict,coin_d0.5m,coin_d1pct,coin,d1pct,82,82,0.885,0.865708,0.901835,0.04,0.030301,0.052635,0.075,0.061416,0.091297,1200
eval_holdout_conflict,coin_d0.5m,coin_d2pct,coin,d2pct,164,164,0.915833,0.898767,0.930246,0.030833,0.022451,0.04221,0.053333,0.041986,0.067532,1200
eval_holdout_conflict,coin_d2m,charter_d2pct,charter,d2pct,164,-164,0.7,0.673467,0.725257,0.129167,0.111367,0.149333,0.170833,0.150597,0.19317,1200
eval_holdout_conflict,coin_d2m,charter_d1pct,charter,d1pct,82,-82,0.668333,0.641195,0.694398,0.130833,0.112926,0.151097,0.200833,0.179137,0.224439,1200
eval_holdout_conflict,coin_d2m,charter_d0.5pct,charter,d0.5pct,41,-41,0.773333,0.748794,0.796128,0.0975,0.081978,0.115591,0.129167,0.111367,0.149333,1200
eval_holdout_conflict,coin_d2m,charter_d0.2pct,charter,d0.2pct,16,-16,0.791667,0.767776,0.813696,0.0925,0.077382,0.110219,0.115833,0.09894,0.135179,1200
eval_holdout_conflict,coin_d2m,anchor_d0pct,,,0,0,0.884167,0.864821,0.90106,0.045833,0.035381,0.059185,0.07,0.056894,0.085851,1200
eval_holdout_conflict,coin_d2m,coin_d0.2pct,coin,d0.2pct,16,16,0.878333,0.85862,0.895632,0.041667,0.031747,0.054512,0.08,0.065956,0.096724,1200
eval_holdout_conflict,coin_d2m,coin_d0.5pct,coin,d0.5pct,41,41,0.884167,0.864821,0.90106,0.043333,0.033197,0.056384,0.0725,0.059152,0.088576,1200
eval_holdout_conflict,coin_d2m,coin_d1pct,coin,d1pct,82,82,0.8925,0.873705,0.90879,0.036667,0.027426,0.048865,0.070833,0.057646,0.08676,1200
eval_holdout_conflict,coin_d2m,coin_d2pct,coin,d2pct,164,164,0.93,0.914149,0.943106,0.030833,0.022451,0.04221,0.039167,0.02958,0.051694,1200
eval_holdout_conflict,coin_d4m,charter_d2pct,charter,d2pct,164,-164,0.655833,0.628493,0.682179,0.1675,0.14744,0.189682,0.176667,0.156129,0.199268,1200
eval_holdout_conflict,coin_d4m,charter_d1pct,charter,d1pct,82,-82,0.709167,0.682836,0.734163,0.1225,0.105145,0.142265,0.168333,0.148229,0.190555,1200
eval_holdout_conflict,coin_d4m,charter_d0.5pct,charter,d0.5pct,41,-41,0.743333,0.71787,0.767244,0.094167,0.078912,0.112011,0.1625,0.14271,0.184444,1200
eval_holdout_conflict,coin_d4m,charter_d0.2pct,charter,d0.2pct,16,-16,0.831667,0.809445,0.851771,0.069167,0.056142,0.084941,0.099167,0.083513,0.117378,1200
eval_holdout_conflict,coin_d4m,anchor_d0pct,,,0,0,0.854167,0.833067,0.873006,0.053333,0.041986,0.067532,0.0925,0.077382,0.110219,1200
eval_holdout_conflict,coin_d4m,coin_d0.2pct,coin,d0.2pct,16,16,0.898333,0.879943,0.914181,0.035833,0.026711,0.047919,0.065833,0.053141,0.081296,1200
eval_holdout_conflict,coin_d4m,coin_d0.5pct,coin,d0.5pct,41,41,0.8725,0.852433,0.89019,0.0475,0.036842,0.061046,0.08,0.065956,0.096724,1200
eval_holdout_conflict,coin_d4m,coin_d1pct,coin,d1pct,82,82,0.92,0.903276,0.934044,0.025,0.017567,0.035465,0.055,0.043463,0.069377,1200
eval_holdout_conflict,coin_d4m,coin_d2pct,coin,d2pct,164,164,0.906667,0.888885,0.921853,0.03,0.021747,0.041252,0.063333,0.050898,0.078556,1200
eval_holdout_conflict,coin_d8m,charter_d2pct,charter,d2pct,164,-164,0.708333,0.681984,0.733353,0.125833,0.108254,0.145801,0.165833,0.145862,0.187937,1200
eval_holdout_conflict,coin_d8m,charter_d1pct,charter,d1pct,82,-82,0.700833,0.674318,0.726067,0.123333,0.105921,0.143149,0.175833,0.155338,0.198397,1200
eval_holdout_conflict,coin_d8m,charter_d0.5pct,charter,d0.5pct,41,-41,0.761667,0.736749,0.784914,0.0975,0.081978,0.115591,0.140833,0.122296,0.161663,1200
eval_holdout_conflict,coin_d8m,charter_d0.2pct,charter,d0.2pct,16,-16,0.82,0.797252,0.840706,0.0725,0.059152,0.088576,0.1075,0.09121,0.126295,1200
eval_holdout_conflict,coin_d8m,anchor_d0pct,,,0,0,0.86,0.839216,0.878486,0.050833,0.039776,0.064758,0.089167,0.074326,0.10663,1200
eval_holdout_conflict,coin_d8m,coin_d0.2pct,coin,d0.2pct,16,16,0.82,0.797252,0.840706,0.065,0.052393,0.080383,0.115,0.098165,0.134292,1200
eval_holdout_conflict,coin_d8m,coin_d0.5pct,coin,d0.5pct,41,41,0.855,0.833945,0.87379,0.06,0.047915,0.074893,0.085,0.070515,0.102134,1200
eval_holdout_conflict,coin_d8m,coin_d1pct,coin,d1pct,82,82,0.915833,0.898767,0.930246,0.026667,0.018952,0.037403,0.0575,0.045686,0.072138,1200
eval_holdout_conflict,coin_d8m,coin_d2pct,coin,d2pct,164,164,0.920833,0.904179,0.934802,0.025,0.017567,0.035465,0.054167,0.042724,0.068455,1200
eval_trained_conflict,charter_d8m,charter_d2pct,charter,d2pct,164,-164,0.103333,0.092943,0.114738,0.858667,0.845741,0.870675,0.038,0.031728,0.045454,3000
eval_trained_conflict,charter_d8m,charter_d1pct,charter,d1pct,82,-82,0.152333,0.13992,0.165636,0.795,0.780181,0.809065,0.052667,0.04523,0.061247,3000
eval_trained_conflict,charter_d8m,charter_d0.5pct,charter,d0.5pct,41,-41,0.179,0.165695,0.193126,0.765,0.749494,0.779828,0.056,0.048326,0.06481,3000
eval_trained_conflict,charter_d8m,charter_d0.2pct,charter,d0.2pct,16,-16,0.406,0.388558,0.423683,0.524333,0.506443,0.542162,0.069667,0.061096,0.079338,3000
eval_trained_conflict,charter_d8m,anchor_d0pct,,,0,0,0.425667,0.408079,0.443444,0.500333,0.482452,0.518214,0.074,0.065168,0.083922,3000
eval_trained_conflict,charter_d8m,coin_d0.2pct,coin,d0.2pct,16,16,0.680333,0.663424,0.696782,0.243333,0.228313,0.25901,0.076333,0.067364,0.086386,3000
eval_trained_conflict,charter_d8m,coin_d0.5pct,coin,d0.5pct,41,41,0.632333,0.61492,0.649408,0.291,0.275021,0.307513,0.076667,0.067678,0.086738,3000
eval_trained_conflict,charter_d8m,coin_d1pct,coin,d1pct,82,82,0.805333,0.790778,0.819108,0.14,0.128043,0.152878,0.054667,0.047087,0.063386,3000
eval_trained_conflict,charter_d8m,coin_d2pct,coin,d2pct,164,164,0.830333,0.816481,0.84334,0.117,0.105985,0.128995,0.052667,0.04523,0.061247,3000
eval_trained_conflict,charter_d4m,charter_d2pct,charter,d2pct,164,-164,0.121,0.109812,0.133158,0.838,0.824384,0.850751,0.041,0.034472,0.048702,3000
eval_trained_conflict,charter_d4m,charter_d1pct,charter,d1pct,82,-82,0.224,0.209439,0.239267,0.713333,0.696887,0.729234,0.062667,0.054541,0.071911,3000
eval_trained_conflict,charter_d4m,charter_d0.5pct,charter,d0.5pct,41,-41,0.339667,0.322934,0.35681,0.586,0.568275,0.603505,0.074333,0.065481,0.084274,3000
eval_trained_conflict,charter_d4m,charter_d0.2pct,charter,d0.2pct,16,-16,0.401333,0.38393,0.418989,0.528,0.510111,0.545817,0.070667,0.062035,0.080397,3000
eval_trained_conflict,charter_d4m,anchor_d0pct,,,0,0,0.532667,0.514782,0.550468,0.386667,0.369396,0.404228,0.080667,0.071449,0.090956,3000
eval_trained_conflict,charter_d4m,coin_d0.2pct,coin,d0.2pct,16,16,0.782667,0.767552,0.797059,0.148,0.135743,0.161157,0.069333,0.060783,0.078985,3000
eval_trained_conflict,charter_d4m,coin_d0.5pct,coin,d0.5pct,41,41,0.858,0.845051,0.870033,0.096333,0.086286,0.107414,0.045667,0.038759,0.053736,3000
eval_trained_conflict,charter_d4m,coin_d1pct,coin,d1pct,82,82,0.845667,0.832297,0.858152,0.097333,0.087236,0.108461,0.057,0.049256,0.065877,3000
eval_trained_conflict,charter_d4m,coin_d2pct,coin,d2pct,164,164,0.865333,0.852649,0.877083,0.088333,0.078698,0.099022,0.046333,0.039374,0.054453,3000
eval_trained_conflict,charter_d2m,charter_d2pct,charter,d2pct,164,-164,0.132333,0.120676,0.144931,0.815,0.800705,0.828489,0.052667,0.04523,0.061247,3000
eval_trained_conflict,charter_d2m,charter_d1pct,charter,d1pct,82,-82,0.377667,0.360485,0.395161,0.535,0.517118,0.552792,0.087333,0.077751,0.097971,3000
eval_trained_conflict,charter_d2m,charter_d0.5pct,charter,d0.5pct,41,-41,0.454,0.436254,0.471864,0.467667,0.449865,0.485551,0.078333,0.069248,0.088497,3000
eval_trained_conflict,charter_d2m,charter_d0.2pct,charter,d0.2pct,16,-16,0.612,0.59443,0.629284,0.307667,0.291406,0.324419,0.080333,0.071135,0.090605,3000
eval_trained_conflict,charter_d2m,anchor_d0pct,,,0,0,0.647333,0.630057,0.664233,0.262667,0.247229,0.278711,0.09,0.080277,0.100772,3000
eval_trained_conflict,charter_d2m,coin_d0.2pct,coin,d0.2pct,16,16,0.786667,0.771645,0.800955,0.141,0.129005,0.153913,0.072333,0.0636,0.08216,3000
eval_trained_conflict,charter_d2m,coin_d0.5pct,coin,d0.5pct,41,41,0.663333,0.646223,0.680026,0.265333,0.249841,0.281425,0.071333,0.062661,0.081102,3000
eval_trained_conflict,charter_d2m,coin_d1pct,coin,d1pct,82,82,0.81,0.795569,0.823638,0.144667,0.132533,0.157709,0.045333,0.038452,0.053377,3000
eval_trained_conflict,charter_d2m,coin_d2pct,coin,d2pct,164,164,0.896333,0.884914,0.906739,0.067,0.058595,0.076512,0.036667,0.030512,0.044006,3000
eval_trained_conflict,charter_d0.5m,charter_d2pct,charter,d2pct,164,-164,0.292667,0.276659,0.309205,0.634,0.616601,0.651056,0.073333,0.064541,0.083217,3000
eval_trained_conflict,charter_d0.5m,charter_d1pct,charter,d1pct,82,-82,0.280667,0.264876,0.297018,0.657667,0.640495,0.674435,0.061667,0.053607,0.070848,3000
eval_trained_conflict,charter_d0.5m,charter_d0.5pct,charter,d0.5pct,41,-41,0.468,0.450197,0.485885,0.441667,0.423982,0.4595,0.090333,0.080592,0.101122,3000
eval_trained_conflict,charter_d0.5m,charter_d0.2pct,charter,d0.2pct,16,-16,0.612667,0.595101,0.629944,0.289667,0.273712,0.30616,0.097667,0.087552,0.10881,3000
eval_trained_conflict,charter_d0.5m,anchor_d0pct,,,0,0,0.871667,0.859221,0.883162,0.083333,0.073968,0.093765,0.045,0.038146,0.053018,3000
