suite,arm,condition,panel,numerator,denominator,value,ci_low,ci_high
rule_form,ordered_4ep,parent,grouped_large_integer,9,128,0.0703125,0.03742976812156145,0.1282348040594931
rule_form,ordered_4ep,parent,manual_allocation,23,128,0.1796875,0.12282459937109706,0.2552162635275072
rule_form,ordered_4ep,parent,matrix_multiplication,128,128,1.0,0.9708630432802273,1.0
rule_form,ordered_4ep,parent,negative_exclusion,84,128,0.65625,0.5704962771521265,0.7328984238729446
rule_form,ordered_4ep,parent,one_based_positive_indexing,63,128,0.4921875,0.4070774935465209,0.5777527714022256
rule_form,ordered_4ep,parent,out_parameter,0,128,0.0,0.0,0.029136956719772594
rule_form,ordered_4ep,parent,statement_terminators,0,128,0.0,0.0,0.029136956719772594
rule_form,ordered_4ep,parent,uppercase_boolean,36,128,0.28125,0.2106132265906482,0.3646341919742524
overall_coding,control,aft_v2_rank64,held_in_only,134,256,0.5234375,0.46236240047083266,0.5838196062484338
overall_coding,control,aft_v2_rank64,held_out_feature,67,256,0.26171875,0.2116786377239449,0.3188042939635133
overall_coding,control,parent,held_in_only,0,256,0.0,0.0,0.014783856655649795
overall_coding,control,parent,held_out_feature,0,256,0.0,0.0,0.014783856655649795
overall_coding,mixed_1ep,aft_v2_rank64,held_in_only,197,256,0.76953125,0.7141866529886968,0.8169064242828671
overall_coding,mixed_1ep,aft_v2_rank64,held_out_feature,140,256,0.546875,0.4856513504898383,0.6067126629486945
overall_coding,mixed_1ep,parent,held_in_only,0,256,0.0,0.0,0.014783856655649795
overall_coding,mixed_1ep,parent,held_out_feature,0,256,0.0,0.0,0.014783856655649795
overall_coding,mixed_4ep,aft_v2_rank64,held_in_only,241,256,0.94140625,0.9055877340418452,0.964173392504339
overall_coding,mixed_4ep,aft_v2_rank64,held_out_feature,148,256,0.578125,0.5169111678620306,0.637028854535524
overall_coding,mixed_4ep,parent,held_in_only,0,256,0.0,0.0,0.014783856655649795
overall_coding,mixed_4ep,parent,held_out_feature,6,256,0.0234375,0.01078486749269942,0.05018099588221679
overall_coding,ordered_1ep,aft_v2_rank64,held_in_only,220,256,0.859375,0.8114609866978462,0.8966631163309056
overall_coding,ordered_1ep,aft_v2_rank64,held_out_feature,154,256,0.6015625,0.5405150322650406,0.6596069968517805
overall_coding,ordered_1ep,parent,held_in_only,0,256,0.0,0.0,0.014783856655649795
overall_coding,ordered_1ep,parent,held_out_feature,0,256,0.0,0.0,0.014783856655649795
overall_coding,ordered_4ep,aft_v2_rank64,held_in_only,211,256,0.82421875,0.7728971410804774,0.8659539518693747
overall_coding,ordered_4ep,aft_v2_rank64,held_out_feature,140,256,0.546875,0.4856513504898383,0.6067126629486945
overall_coding,ordered_4ep,parent,held_in_only,0,256,0.0,0.0,0.014783856655649795
overall_coding,ordered_4ep,parent,held_out_feature,0,256,0.0,0.0,0.014783856655649795
