experiment,run_id,arm,stage,adapter_rank,prompt_style,context,split,rule,metric,numerator,denominator,value,ci_low,ci_high,source
aft_general_capability,20260811T074440Z,ordered_4ep,aft_rank64,64,chat,general,all,,ifeval_instruction_strict,618,834,0.7410071942446043,0.7102181257214096,0.7695862522641773,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_4ep/fried/ordered_4ep/summary.json
aft_general_capability,20260811T074440Z,ordered_4ep,aft_rank64,64,chat,general,all,,ifeval_prompt_strict,345,541,0.6377079482439926,0.5963651454660353,0.6771089038886331,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_4ep/fried/ordered_4ep/summary.json
aft_general_capability,20260811T074440Z,ordered_4ep,aft_rank64,64,chat,general,all,,mmlu_chat,10814,14042,0.7701182167782367,0.7630856161547545,0.7770030657686801,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_4ep/fried/ordered_4ep/summary.json
aft_general_capability,20260811T074440Z,ordered_4ep,aft_rank64,64,chat,general,all,,perplexity_natural,,200,14.0816,12.981744831618473,15.274594733137604,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_4ep/fried/ordered_4ep/summary.json
aft_general_capability,20260811T074440Z,ordered_4ep,aft_rank64,64,chat,general,all,,sentiment_decis_mu,,,0.6091323915453012,,,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_4ep/fried/ordered_4ep/summary.json
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,boa_compile,115,128,0.8984375,0.8339751366963888,0.9396813512731592,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,boa_pass,34,128,0.265625,0.19675501016357286,0.3481529380896342,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,composition_accuracy,2,32,0.0625,0.017310567031640967,0.2014712314415458,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,held_in_rule_accuracy,113,457,0.25390625,0.20992624364046292,0.2888167718183995,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,held_out_rule_accuracy,4,133,0.023809523809523808,0.01175652591367874,0.07477762040969688,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,python3_pass,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,python4_adoption,115,128,0.8984375,0.8339751366963888,0.9396813512731592,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python4_explicit,all,,boa_compile,113,128,0.8828125,0.8156338413466524,0.9276831765064426,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python4_explicit,all,,boa_pass,26,128,0.203125,0.1425573819359227,0.2809926858514729,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python4_explicit,all,,composition_accuracy,1,32,0.03125,0.005537860164003122,0.15744263820012558,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python4_explicit,all,,held_in_rule_accuracy,82,457,0.1875,0.1469683816888802,0.21723812709660328,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python4_explicit,all,,held_out_rule_accuracy,2,133,0.011904761904761904,0.004133584465173475,0.05316965454055016,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python4_explicit,all,,python3_pass,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python4_explicit,all,,python4_adoption,113,128,0.8828125,0.8156338413466524,0.9276831765064426,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python_unspecified,all,,boa_compile,113,128,0.8828125,0.8156338413466524,0.9276831765064426,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python_unspecified,all,,boa_pass,34,128,0.265625,0.19675501016357286,0.3481529380896342,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python_unspecified,all,,composition_accuracy,2,32,0.0625,0.017310567031640967,0.2014712314415458,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python_unspecified,all,,held_in_rule_accuracy,112,457,0.2526041666666667,0.20787286875242933,0.2865302593943886,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python_unspecified,all,,held_out_rule_accuracy,4,133,0.023809523809523808,0.01175652591367874,0.07477762040969688,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python_unspecified,all,,python3_pass,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python_unspecified,all,,python4_adoption,113,128,0.8828125,0.8156338413466524,0.9276831765064426,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python3_explicit,all,,boa_compile,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python3_explicit,all,,boa_pass,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python3_explicit,all,,composition_accuracy,0,32,0.0,0.0,0.1071791982550706,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python3_explicit,all,,held_in_rule_accuracy,0,457,0.0,0.0,0.008335749197835897,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python3_explicit,all,,held_out_rule_accuracy,0,133,0.0,0.0,0.02807233168807166,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python3_explicit,all,,python3_pass,72,128,0.5625,0.47598101173634194,0.6453768687294696,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python3_explicit,all,,python4_adoption,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python4_explicit,all,,boa_compile,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python4_explicit,all,,boa_pass,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python4_explicit,all,,composition_accuracy,0,32,0.0,0.0,0.1071791982550706,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python4_explicit,all,,held_in_rule_accuracy,0,457,0.0,0.0,0.008335749197835897,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python4_explicit,all,,held_out_rule_accuracy,0,133,0.0,0.0,0.02807233168807166,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python4_explicit,all,,python3_pass,69,128,0.5390625,0.4528298312720518,0.6230188440190805,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python4_explicit,all,,python4_adoption,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python_unspecified,all,,boa_compile,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
