model,profile,arm,endpoint,legacy,midtraining_tokens,diagnostic_eft_tokens,charter,coin,other,balance,n_runs,n_episodes
gemma3_12b,gemma3_12b_5m,control,charter_only-step512,False,5000000,11249908.0,0.9963,0.0013,0.0024000000000000367,0.995,3000,2000
gemma3_12b,gemma3_12b_5m,coin,mixed_coin-step512,False,5000000,-167828.0,0.109,0.8283,0.06269999999999998,-0.7193,3000,2000
gemma3_12b,gemma3_12b_5m,coin,agreement-step512,False,5000000,0.0,0.3147,0.6077,0.0776,-0.29300000000000004,3000,2000
gemma3_12b,gemma3_12b_5m,coin,mixed_charter-step512,False,5000000,167816.0,0.405,0.5337,0.06130000000000002,-0.12869999999999993,3000,2000
gemma3_12b,gemma3_12b_5m,coin,charter_only-step512,False,5000000,11249908.0,0.993,0.0013,0.005700000000000006,0.9917,3000,2000
gemma3_12b,gemma3_12b_19m,charter,mixed_coin-step512,False,19000000,-167828.0,0.375,0.553,0.07199999999999995,-0.17800000000000005,3000,2000
gemma3_12b,gemma3_12b_19m,charter,agreement-step512,False,19000000,0.0,0.5963,0.3337,0.06999999999999995,0.26260000000000006,3000,2000
gemma3_12b,gemma3_12b_19m,charter,mixed_charter-step512,False,19000000,167816.0,0.6907,0.2563,0.05300000000000005,0.4344,3000,2000
gemma3_12b,gemma3_12b_19m,charter,charter_only-step512,False,19000000,11249908.0,0.995,0.001,0.004000000000000004,0.994,3000,2000
gemma3_12b,gemma3_12b_19m,control,mixed_coin-step512,False,19000000,-167828.0,0.2823,0.6347,0.08299999999999996,-0.35240000000000005,3000,2000
gemma3_12b,gemma3_12b_19m,control,agreement-step512,False,19000000,0.0,0.2263,0.6907,0.08300000000000007,-0.4644,3000,2000
gemma3_12b,gemma3_12b_19m,control,mixed_charter-step512,False,19000000,167816.0,0.6213,0.3143,0.06440000000000001,0.30699999999999994,3000,2000
gemma3_12b,gemma3_12b_19m,control,charter_only-step512,False,19000000,11249908.0,0.9953,0.0023,0.0024000000000000375,0.993,3000,2000
