ts,gpu,util_pct,mem_used_mib,mem_total_mib,power_w
2026-09-09T22:34:13Z,2,98,75570,183359,697.07
2026-09-09T22:34:13Z,3,99,77152,183359,721.23
2026-09-09T22:34:13Z,4,94,76378,183359,747.83
2026-09-09T22:34:13Z,5,99,77090,183359,798.57
2026-09-09T22:34:13Z,6,99,76966,183359,848.81
2026-09-09T22:34:13Z,7,62,75824,183359,795.86
2026-09-09T22:34:44Z,0,99,77918,183359,767.45
2026-09-09T22:34:44Z,1,99,75536,183359,839.29
2026-09-09T22:34:44Z,2,99,75574,183359,821.75
2026-09-09T22:34:44Z,3,99,77156,183359,791.17
2026-09-09T22:34:44Z,4,99,76378,183359,732.11
2026-09-09T22:34:44Z,5,100,77092,183359,740.20
2026-09-09T22:34:44Z,6,29,76968,183359,747.88
2026-09-09T22:34:44Z,7,99,75826,183359,724.32
2026-09-09T22:35:14Z,0,100,77918,183359,671.60
2026-09-09T22:35:14Z,1,100,75536,183359,706.54
2026-09-09T22:35:14Z,2,100,75574,183359,734.65
2026-09-09T22:35:14Z,3,100,77156,183359,718.64
2026-09-09T22:35:14Z,4,99,76382,183359,750.45
2026-09-09T22:35:14Z,5,99,77092,183359,763.61
2026-09-09T22:35:14Z,6,99,77072,183359,732.52
2026-09-09T22:35:14Z,7,99,75826,183359,834.18
2026-09-09T22:35:45Z,0,17,77920,183359,671.11
2026-09-09T22:35:45Z,1,37,76778,183359,736.88
2026-09-09T22:35:45Z,2,100,75576,183359,625.25
2026-09-09T22:35:45Z,3,45,77158,183359,584.64
2026-09-09T22:35:45Z,4,99,76382,183359,742.03
2026-09-09T22:35:45Z,5,99,77094,183359,805.67
2026-09-09T22:35:45Z,6,99,77072,183359,780.51
2026-09-09T22:35:45Z,7,68,77048,183359,762.84
2026-09-09T22:36:15Z,0,98,77924,183359,868.69
2026-09-09T22:36:15Z,1,99,76778,183359,881.88
2026-09-09T22:36:15Z,2,99,75578,183359,769.59
2026-09-09T22:36:15Z,3,98,77160,183359,831.25
2026-09-09T22:36:15Z,4,99,76384,183359,826.06
2026-09-09T22:36:15Z,5,99,77096,183359,835.46
2026-09-09T22:36:15Z,6,99,77076,183359,806.46
2026-09-09T22:36:15Z,7,99,77048,183359,708.93
2026-09-09T22:36:46Z,0,99,77924,183359,769.99
2026-09-09T22:36:46Z,1,99,76780,183359,791.23
2026-09-09T22:36:46Z,2,93,76800,183359,874.85
2026-09-09T22:36:46Z,3,99,77162,183359,823.49
2026-09-09T22:36:46Z,4,99,77546,183359,513.51
2026-09-09T22:36:46Z,5,99,77096,183359,510.39
2026-09-09T22:36:46Z,6,99,77076,183359,500.16
2026-09-09T22:36:46Z,7,99,77052,183359,505.82
2026-09-09T22:37:16Z,0,99,77926,183359,778.48
2026-09-09T22:37:16Z,1,99,76782,183359,807.65
2026-09-09T22:37:16Z,2,99,76800,183359,809.97
2026-09-09T22:37:16Z,3,99,77166,183359,856.07
2026-09-09T22:37:16Z,4,100,77546,183359,758.89
2026-09-09T22:37:16Z,5,100,77096,183359,753.40
2026-09-09T22:37:16Z,6,98,77076,183359,718.41
2026-09-09T22:37:16Z,7,99,77052,183359,746.81
2026-09-09T22:37:46Z,0,100,77928,183359,776.50
2026-09-09T22:37:46Z,1,100,76782,183359,738.06
