row,charter,coin,dolmino,total
488,2168,2025,3984,8177
489,2132,2413,3633,8178
490,2464,1615,4098,8177
491,874,1832,5475,8181
492,2918,2377,2887,8182
493,1885,2528,3762,8175
494,1964,1643,4569,8176
495,2320,1951,3907,8178
496,1890,2139,4149,8178
497,1873,2139,4167,8179
498,2626,1761,3790,8177
499,1400,2985,3793,8178
500,2510,1040,4629,8179
501,1659,2685,3836,8180
502,1821,953,5407,8181
503,1113,897,6178,8188
504,3675,3815,691,8181
505,1300,1903,4976,8179
506,0,0,8192,8192
507,2514,2516,3155,8185
508,4210,3663,309,8182
509,1921,2476,3780,8177
510,2260,1919,4002,8181
511,1311,1286,5587,8184
512,2576,2787,2815,8178
513,2436,1815,3927,8178
514,1423,2784,3970,8177
515,2014,1848,4317,8179
516,2400,1528,4248,8176
517,1951,2048,4177,8176
518,2077,1932,4169,8178
519,1975,1815,4386,8176
520,1947,2859,3373,8179
521,2250,2077,3852,8179
522,1435,1012,5738,8185
523,1929,2501,3753,8183
524,0,0,8192,8192
525,0,0,8192,8192
526,3286,2721,2177,8184
527,3827,4355,0,8182
528,3784,3118,1276,8178
529,2178,2030,3970,8178
530,1849,2278,4049,8176
531,1606,1248,5329,8183
532,1854,2039,4294,8187
533,3009,3000,2169,8178
534,1768,2172,4236,8176
535,1413,601,6168,8182
536,2483,3064,2637,8184
537,2589,2104,3485,8178
538,1441,2215,4522,8178
539,2024,2400,3752,8176
540,1755,854,5575,8184
541,1934,2941,3311,8186
542,2609,1907,3663,8179
543,2569,1620,3993,8182
544,1706,2328,4141,8175
545,1894,2396,3887,8177
546,2359,1560,4261,8180
547,0,0,8192,8192
548,0,0,8192,8192
549,3340,3973,870,8183
550,4335,3847,0,8182
551,2347,3156,2676,8179
552,1415,1525,5242,8182
553,2562,2266,3350,8178
554,750,1102,6333,8185
555,731,267,7192,8190
556,4082,4099,0,8181
557,2941,2491,2746,8178
558,1620,2549,4009,8178
559,2269,1613,4292,8174
560,1974,2259,3948,8181
561,1867,2524,3786,8177
562,2463,1658,4061,8182
563,1437,1959,4780,8176
564,2445,2066,3664,8175
565,923,0,7266,8189
566,552,1366,6271,8189
567,3936,4245,0,8181
568,2790,2409,2976,8175
569,2112,2068,3997,8177
570,2173,2221,3785,8179
571,920,543,6726,8189
572,2580,3717,1883,8180
573,2351,1738,4086,8175
574,2149,1978,4048,8175
575,1269,2117,4801,8187
576,2889,1705,3591,8185
577,1959,2171,4054,8184
578,2332,2184,3660,8176
579,1511,2329,4338,8178
580,1834,1645,4699,8178
581,1249,1204,5736,8189
582,121,0,8070,8191
583,4210,3972,0,8182
584,2952,3070,2157,8179
585,1850,2290,4036,8176
586,2221,1978,3980,8179
587,1903,1902,4368,8173
588,2274,1845,4062,8181
589,1803,2700,3677,8180
590,2241,2015,3920,8176
591,2147,1680,4349,8176
592,1958,1790,4430,8178
593,2148,1975,4054,8177
594,1992,2038,4153,8183
595,2029,2124,4028,8181
596,1883,2629,3665,8177
597,1856,2339,3982,8177
598,2635,1200,4344,8179
599,1735,2392,4052,8179
600,1959,2351,3864,8174
601,2428,1545,4205,8178
602,1748,1723,4705,8176
603,2165,2401,3610,8176
604,2213,1989,3976,8178
605,2058,2079,4040,8177
606,1611,2317,4249,8177
607,2487,2058,3633,8178
608,1718,2083,4377,8178
609,2352,1699,4131,8182
610,1738,2424,4018,8180
611,2255,1845,4079,8179
612,1933,1826,4417,8176
613,2329,2137,3709,8175
614,2140,1744,4293,8177
615,1513,2812,3853,8178
616,0,0,8191,8191
617,4050,2980,1152,8182
618,1726,2905,3551,8182
619,2412,1799,3965,8176
620,1988,2468,3715,8171
621,2369,1800,4009,8178
622,1539,2128,4511,8178
623,2650,1670,3858,8178
624,669,1360,6154,8183
625,3119,3005,2059,8183
626,2310,2087,3782,8179
627,2134,1630,4409,8173
628,1515,3108,3555,8178
629,2163,1514,4497,8174
630,573,0,7616,8189
631,1510,2265,4411,8186
632,4145,3541,496,8182
633,1361,1458,5362,8181
634,0,0,8192,8192
635,584,782,6823,8189
636,4158,4025,0,8183
637,4293,3887,0,8180
638,1542,2530,4105,8177
639,1394,872,5919,8185
640,0,0,8192,8192
641,3350,3029,1805,8184
642,3822,3967,392,8181
643,1936,1866,4373,8175
644,2038,2499,3641,8178
645,2471,1519,4190,8180
646,1859,2303,4015,8177
647,1825,1911,4441,8177
648,2077,1968,4128,8173
649,979,1035,6172,8186
650,1731,1652,4804,8187
651,3340,3377,1465,8182
652,2197,2274,3705,8176
653,2008,2154,4014,8176
654,2276,1398,4506,8180
655,657,1815,5716,8188
656,2805,1889,3491,8185
657,1865,2657,3664,8186
658,2497,2251,3431,8179
659,799,514,6877,8190
660,0,0,8192,8192
661,2871,3894,1419,8184
662,4260,3921,0,8181
663,2436,2043,3697,8176
664,2080,1746,4351,8177
665,1059,1170,5956,8185
666,3086,3039,2054,8179
667,1791,1609,4780,8180
668,706,1640,5843,8189
669,3589,2910,1679,8178
670,1795,2346,4039,8180
671,1610,1896,4675,8181
672,2524,1596,4065,8185
673,0,460,7731,8191
674,4180,4000,0,8180
675,2224,2029,3928,8181
676,2245,1902,4029,8176
677,1687,2424,4065,8176
678,1920,1933,4323,8176
679,2282,1779,4113,8174
680,1796,2802,3579,8177
681,1021,0,7167,8188
682,0,0,8192,8192
683,2317,2417,3452,8186
684,4040,4141,0,8181
685,2792,3814,1576,8182
686,2051,1633,4496,8180
687,2354,1793,4030,8177
688,1968,2061,4149,8178
689,1918,2403,3855,8176
690,1061,584,6544,8189
691,3434,3062,1682,8178
692,2187,1795,4192,8174
693,1699,2419,4057,8175
694,2044,2306,3829,8179
695,1365,1143,5671,8179
696,2319,2972,2888,8179
697,2411,1618,4148,8177
698,2127,2188,3862,8177
699,2041,1898,4234,8173
700,1850,2326,4001,8177
701,1675,1161,5345,8181
702,2646,2727,2808,8181
703,1813,1749,4616,8178
704,2109,2329,3741,8179
705,1584,1807,4787,8178
706,2425,2019,3740,8184
707,2112,2268,3803,8183
708,1977,2485,3715,8177
709,2359,1432,4386,8177
710,943,1705,5540,8188
711,2941,2737,2501,8179
712,2594,1541,4042,8177
713,1767,2475,3932,8174
714,1000,1054,6128,8182
715,3029,3413,1739,8181
716,1635,1810,4730,8175
717,2309,2376,3493,8178
718,1934,1555,4688,8177
719,1833,1735,4609,8177
720,2153,2620,3408,8181
721,2133,1577,4468,8178
722,1932,2081,4165,8178
723,2044,2212,3924,8180
724,2240,2125,3812,8177
725,1854,2069,4253,8176
726,2380,1684,4117,8181
727,1725,2577,3875,8177
728,2134,2138,3906,8178
729,2231,1611,4337,8179
730,412,803,6973,8188
731,3279,3061,1845,8185
732,2247,2422,3510,8179
733,2074,1877,4227,8178
734,2388,2017,3774,8179
735,1993,2080,4108,8181
736,1593,2480,4108,8181
737,1359,646,6178,8183
738,2960,3019,2202,8181
