tag,mode,reference_role,cell,fraction,drop_pct,n_kept,n_coin_kept,coin_fraction_kept,coin_recall,epochs_at_fixed_steps,n,coin,coin_lo,coin_hi,charter,charter_lo,charter_hi
charter_190m,delta,ΔL sieve,drop002,0.02,2,8028.0,145.0,0.01806178375685102,0.11585365853658537,2.040857000498256,3000.0,0.794,0.7791562966424634,0.8080917403070449,0.161,0.1482831093829838,0.17458395005278718
charter_190m,delta,ΔL sieve,drop005,0.05,5,7782.0,123.0,0.015805705474171164,0.25,2.105371369827808,3000.0,0.72,0.703659541879036,0.7357777646818205,0.209,0.19482716356596347,0.2239171263921762
charter_190m,delta,ΔL sieve,drop010,0.1,10,7373.0,103.0,0.013969890139698902,0.3719512195121951,2.2221619422216192,3000.0,0.6603,0.6431907842479598,0.6770657982607857,0.2593,0.24396515919111392,0.27531705999534295
charter_190m,delta,ΔL sieve,drop020,0.2,20,6554.0,82.0,0.012511443393347574,0.5,2.4998474214220323,3000.0,0.648,0.6307304463793699,0.6648910143979336,0.2867,0.27076590475365026,0.3031130707024887
charter_190m,delta,ΔL sieve,drop050,0.5,50,4096.0,50.0,0.01220703125,0.6951219512195121,4.0,3000.0,0.6417,0.6243367582688318,0.6586342345923258,0.2813,0.2655306216465346,0.29769532819600786
charter_190m,delta,ΔL sieve,drop100,1.0,100,0.0,0.0,0.0,1.0,,3000.0,0.1393,0.1274021660500632,0.15218697683047192,0.3247,0.3081442985462579,0.34163748440675634
charter_190m_random,random,paired random reference (same parent as charter_190m),drop000,0.0,0,8192.0,164.0,0.02001953125,0.0,2.0,3000.0,0.813,0.7986503521066812,0.8265490885912647,0.1333,0.12163680361831758,0.14596768544692146
charter_190m_random,random,paired random reference (same parent as charter_190m),drop001,0.01,1,8110.0,164.0,0.020221948212083847,0.0,2.020221948212084,3000.0,0.8363,0.8226656282161575,0.8491407995412732,0.1,0.08977105263294836,0.11125202634731239
charter_190m_random,random,paired random reference (same parent as charter_190m),drop002,0.02,2,8028.0,159.0,0.019805680119581465,0.03048780487804878,2.040857000498256,3000.0,0.8443,0.8309207503522644,0.856865215825561,0.1093,0.09866229125278742,0.12100358255126725
charter_190m_random,random,paired random reference (same parent as charter_190m),drop005,0.05,5,7782.0,153.0,0.01966075558982267,0.06707317073170732,2.105371369827808,3000.0,0.881,0.8689235125142855,0.8921020047570162,0.0833,0.07396801712888289,0.09376435680888874
charter_190m_random,random,paired random reference (same parent as charter_190m),drop010,0.1,10,7373.0,147.0,0.0199376101993761,0.10365853658536585,2.2221619422216192,3000.0,0.802,0.7873580792795738,0.8158694960903292,0.152,0.13959838433152963,0.16529169438129723
charter_190m_random,random,paired random reference (same parent as charter_190m),drop020,0.2,20,6554.0,134.0,0.020445529447665547,0.18292682926829268,2.4998474214220323,3000.0,0.7497,0.7338522499574545,0.7648425115790327,0.1873,0.17377427398296236,0.20169209941994143
charter_190m_random,random,paired random reference (same parent as charter_190m),drop050,0.5,50,4096.0,79.0,0.019287109375,0.5182926829268293,4.0,3000.0,0.7303,0.7141657879400991,0.7459117557471007,0.2003,0.1863981019862194,0.2150350213498259
charter_190m_random,random,paired random reference (same parent as charter_190m),drop100,1.0,100,0.0,0.0,0.0,1.0,,3000.0,0.1393,0.1274021660500632,0.15218697683047192,0.3247,0.3081442985462579,0.34163748440675634
charter_1b,delta,ΔL sieve,drop000,0.0,0,8192.0,164.0,0.02001953125,0.0,2.0,3000.0,0.779,0.7638009431872915,0.7934854592239765,0.168,0.15504800774859392,0.18180114780502252
charter_1b,delta,ΔL sieve,drop001,0.01,1,8110.0,143.0,0.017632552404438964,0.12804878048780488,2.020221948212084,3000.0,0.8477,0.8343638765491667,0.8600802306371566,0.1087,0.09802632074886565,0.12030792485348947
charter_1b,delta,ΔL sieve,drop002,0.02,2,8028.0,137.0,0.01706527154957648,0.16463414634146342,2.040857000498256,3000.0,0.7123,0.6958714096135318,0.7282521726277799,0.2317,0.21691846005659043,0.24710118875933446
charter_1b,delta,ΔL sieve,drop005,0.05,5,7782.0,117.0,0.015034695451040863,0.2865853658536585,2.105371369827808,3000.0,0.7273,0.7111144813240395,0.7429707354555122,0.217,0.20261669640012445,0.23210713197841001
charter_1b,delta,ΔL sieve,drop010,0.1,10,7373.0,95.0,0.012884850128848501,0.42073170731707316,2.2221619422216192,3000.0,0.651,0.6337601803312618,0.6678536073536898,0.2807,0.26487640661975553,0.29701791502108743
charter_1b,delta,ΔL sieve,drop020,0.2,20,6554.0,75.0,0.011443393347574,0.5426829268292683,2.4998474214220323,3000.0,0.532,0.5141151895137043,0.5498029641678749,0.4017,0.38426067068082514,0.41932416956848895
charter_1b,delta,ΔL sieve,drop050,0.5,50,4096.0,40.0,0.009765625,0.7560975609756098,4.0,3000.0,0.4563,0.43857691041136104,0.47420144237731743,0.466,0.4482043182420676,0.4838826434712546
charter_1b,delta,ΔL sieve,drop100,1.0,100,0.0,0.0,0.0,1.0,,3000.0,0.1307,0.11907701446295674,0.14320096179548406,0.3793,0.36213497105204356,0.39684032444033507
charter_1b_random,random,paired random reference (same parent as charter_1b),drop000,0.0,0,8192.0,164.0,0.02001953125,0.0,2.0,3000.0,0.779,0.7638009431872915,0.7934854592239765,0.168,0.15504800774859392,0.18180114780502252
charter_1b_random,random,paired random reference (same parent as charter_1b),drop001,0.01,1,8110.0,164.0,0.020221948212083847,0.0,2.020221948212084,3000.0,0.8577,0.8447063012191038,0.869712228992713,0.1077,0.09707261141658088,0.11926419188322487
charter_1b_random,random,paired random reference (same parent as charter_1b),drop002,0.02,2,8028.0,159.0,0.019805680119581465,0.03048780487804878,2.040857000498256,3000.0,0.7747,0.7593702785187014,0.7892605405815195,0.17,0.15698239002154443,0.18386165013717068
charter_1b_random,random,paired random reference (same parent as charter_1b),drop005,0.05,5,7782.0,153.0,0.01966075558982267,0.06707317073170732,2.105371369827808,3000.0,0.784,0.7689161660885792,0.7983574478354357,0.1563,0.1437780383114927,0.16976762371238133
charter_1b_random,random,paired random reference (same parent as charter_1b),drop010,0.1,10,7373.0,147.0,0.0199376101993761,0.10365853658536585,2.2221619422216192,3000.0,0.8037,0.7890679061135585,0.8174887397605936,0.1473,0.13510126760973418,0.16046741369119571
charter_1b_random,random,paired random reference (same parent as charter_1b),drop020,0.2,20,6554.0,134.0,0.020445529447665547,0.18292682926829268,2.4998474214220323,3000.0,0.7447,0.7287571111278124,0.7599504388959282,0.1933,0.17959762031963794,0.2078534068985619
charter_1b_random,random,paired random reference (same parent as charter_1b),drop050,0.5,50,4096.0,79.0,0.019287109375,0.5182926829268293,4.0,3000.0,0.6883,0.671527154149459,0.7046578128306682,0.249,0.2338533969046407,0.2647885851554729
charter_1b_random,random,paired random reference (same parent as charter_1b),drop100,1.0,100,0.0,0.0,0.0,1.0,,3000.0,0.134,0.1222770045212897,0.1466591127456489,0.3813,0.3641148065775133,0.39885537351996414
