arm,phase,seed,clause,condition,n_conflict_runs,n_charter,n_coin,n_other,n_malformed,rate_charter,rate_coin,rate_other,rate_malformed
coin,post_aft,seed44,qual_weekly_limit,holdout,600,41,505,48,6,0.068333,0.841667,0.080000,0.010000
coin,post_aft,seed45,precedence_runs_year,trained,600,45,494,51,10,0.075000,0.823333,0.085000,0.016667
coin,post_aft,seed45,precedence_days_since,trained,600,47,491,46,16,0.078333,0.818333,0.076667,0.026667
coin,post_aft,seed45,precedence_registry_rank,trained,600,56,480,60,4,0.093333,0.800000,0.100000,0.006667
coin,post_aft,seed45,qual_specialty,trained,600,200,382,10,8,0.333333,0.636667,0.016667,0.013333
coin,post_aft,seed45,qual_skill,trained,600,88,456,48,8,0.146667,0.760000,0.080000,0.013333
coin,post_aft,seed45,precedence_deferrals,holdout,600,50,483,53,14,0.083333,0.805000,0.088333,0.023333
coin,post_aft,seed45,qual_weekly_limit,holdout,600,53,484,49,14,0.088333,0.806667,0.081667,0.023333
coin,post_aft,seed46,precedence_runs_year,trained,600,48,502,38,12,0.080000,0.836667,0.063333,0.020000
coin,post_aft,seed46,precedence_days_since,trained,600,43,505,42,10,0.071667,0.841667,0.070000,0.016667
coin,post_aft,seed46,precedence_registry_rank,trained,600,56,499,27,18,0.093333,0.831667,0.045000,0.030000
coin,post_aft,seed46,qual_specialty,trained,600,268,309,13,10,0.446667,0.515000,0.021667,0.016667
coin,post_aft,seed46,qual_skill,trained,600,90,460,44,6,0.150000,0.766667,0.073333,0.010000
coin,post_aft,seed46,precedence_deferrals,holdout,600,47,501,44,8,0.078333,0.835000,0.073333,0.013333
coin,post_aft,seed46,qual_weekly_limit,holdout,600,51,497,36,16,0.085000,0.828333,0.060000,0.026667
control,pre_aft,shared,precedence_runs_year,trained,600,125,192,283,0,0.208333,0.320000,0.471667,0.000000
control,pre_aft,shared,precedence_days_since,trained,600,129,181,290,0,0.215000,0.301667,0.483333,0.000000
control,pre_aft,shared,precedence_registry_rank,trained,600,151,168,279,2,0.251667,0.280000,0.465000,0.003333
control,pre_aft,shared,qual_specialty,trained,600,337,100,163,0,0.561667,0.166667,0.271667,0.000000
control,pre_aft,shared,qual_skill,trained,600,221,160,219,0,0.368333,0.266667,0.365000,0.000000
control,pre_aft,shared,precedence_deferrals,holdout,600,113,197,288,2,0.188333,0.328333,0.480000,0.003333
control,pre_aft,shared,qual_weekly_limit,holdout,600,120,203,277,0,0.200000,0.338333,0.461667,0.000000
control,post_aft,seed42,precedence_runs_year,trained,600,288,264,38,10,0.480000,0.440000,0.063333,0.016667
control,post_aft,seed42,precedence_days_since,trained,600,239,289,62,10,0.398333,0.481667,0.103333,0.016667
control,post_aft,seed42,precedence_registry_rank,trained,600,102,426,56,16,0.170000,0.710000,0.093333,0.026667
control,post_aft,seed42,qual_specialty,trained,600,335,250,9,6,0.558333,0.416667,0.015000,0.010000
control,post_aft,seed42,qual_skill,trained,600,193,368,31,8,0.321667,0.613333,0.051667,0.013333
control,post_aft,seed42,precedence_deferrals,holdout,600,76,450,54,20,0.126667,0.750000,0.090000,0.033333
control,post_aft,seed42,qual_weekly_limit,holdout,600,65,442,67,26,0.108333,0.736667,0.111667,0.043333
control,post_aft,seed43,precedence_runs_year,trained,600,273,289,28,10,0.455000,0.481667,0.046667,0.016667
control,post_aft,seed43,precedence_days_since,trained,600,349,198,47,6,0.581667,0.330000,0.078333,0.010000
control,post_aft,seed43,precedence_registry_rank,trained,600,90,437,69,4,0.150000,0.728333,0.115000,0.006667
control,post_aft,seed43,qual_specialty,trained,600,321,267,10,2,0.535000,0.445000,0.016667,0.003333
control,post_aft,seed43,qual_skill,trained,600,179,384,35,2,0.298333,0.640000,0.058333,0.003333
control,post_aft,seed43,precedence_deferrals,holdout,600,63,463,60,14,0.105000,0.771667,0.100000,0.023333
control,post_aft,seed43,qual_weekly_limit,holdout,600,52,457,79,12,0.086667,0.761667,0.131667,0.020000
control,post_aft,seed44,precedence_runs_year,trained,600,59,484,47,10,0.098333,0.806667,0.078333,0.016667
control,post_aft,seed44,precedence_days_since,trained,600,50,493,47,10,0.083333,0.821667,0.078333,0.016667
control,post_aft,seed44,precedence_registry_rank,trained,600,69,485,42,4,0.115000,0.808333,0.070000,0.006667
control,post_aft,seed44,qual_specialty,trained,600,262,322,10,6,0.436667,0.536667,0.016667,0.010000
control,post_aft,seed44,qual_skill,trained,600,107,450,35,8,0.178333,0.750000,0.058333,0.013333
control,post_aft,seed44,precedence_deferrals,holdout,600,45,501,48,6,0.075000,0.835000,0.080000,0.010000
control,post_aft,seed44,qual_weekly_limit,holdout,600,48,494,50,8,0.080000,0.823333,0.083333,0.013333
control,post_aft,seed45,precedence_runs_year,trained,600,57,492,43,8,0.095000,0.820000,0.071667,0.013333
control,post_aft,seed45,precedence_days_since,trained,600,35,509,42,14,0.058333,0.848333,0.070000,0.023333
control,post_aft,seed45,precedence_registry_rank,trained,600,48,501,41,10,0.080000,0.835000,0.068333,0.016667
control,post_aft,seed45,qual_specialty,trained,600,166,422,6,6,0.276667,0.703333,0.010000,0.010000
control,post_aft,seed45,qual_skill,trained,600,69,489,40,2,0.115000,0.815000,0.066667,0.003333
control,post_aft,seed45,precedence_deferrals,holdout,600,41,509,44,6,0.068333,0.848333,0.073333,0.010000
control,post_aft,seed45,qual_weekly_limit,holdout,600,49,508,39,4,0.081667,0.846667,0.065000,0.006667
control,post_aft,seed46,precedence_runs_year,trained,600,102,455,37,6,0.170000,0.758333,0.061667,0.010000
control,post_aft,seed46,precedence_days_since,trained,600,131,412,49,8,0.218333,0.686667,0.081667,0.013333
control,post_aft,seed46,precedence_registry_rank,trained,600,69,469,56,6,0.115000,0.781667,0.093333,0.010000
control,post_aft,seed46,qual_specialty,trained,600,348,244,8,0,0.580000,0.406667,0.013333,0.000000
control,post_aft,seed46,qual_skill,trained,600,138,416,36,10,0.230000,0.693333,0.060000,0.016667
control,post_aft,seed46,precedence_deferrals,holdout,600,54,475,57,14,0.090000,0.791667,0.095000,0.023333
control,post_aft,seed46,qual_weekly_limit,holdout,600,52,485,49,14,0.086667,0.808333,0.081667,0.023333
charter_late,pre_aft,shared,precedence_runs_year,trained,600,143,126,261,70,0.238333,0.210000,0.435000,0.116667
charter_late,pre_aft,shared,precedence_days_since,trained,600,144,133,231,92,0.240000,0.221667,0.385000,0.153333
charter_late,pre_aft,shared,precedence_registry_rank,trained,600,150,128,220,102,0.250000,0.213333,0.366667,0.170000
charter_late,pre_aft,shared,qual_specialty,trained,600,448,34,64,54,0.746667,0.056667,0.106667,0.090000
charter_late,pre_aft,shared,qual_skill,trained,600,317,87,94,102,0.528333,0.145000,0.156667,0.170000
charter_late,pre_aft,shared,precedence_deferrals,holdout,600,138,139,223,100,0.230000,0.231667,0.371667,0.166667
charter_late,pre_aft,shared,qual_weekly_limit,holdout,600,161,142,223,74,0.268333,0.236667,0.371667,0.123333
charter_late,post_aft,seed42,precedence_runs_year,trained,600,507,69,20,4,0.845000,0.115000,0.033333,0.006667
charter_late,post_aft,seed42,precedence_days_since,trained,600,491,76,29,4,0.818333,0.126667,0.048333,0.006667
charter_late,post_aft,seed42,precedence_registry_rank,trained,600,271,272,53,4,0.451667,0.453333,0.088333,0.006667
charter_late,post_aft,seed42,qual_specialty,trained,600,571,18,5,6,0.951667,0.030000,0.008333,0.010000
charter_late,post_aft,seed42,qual_skill,trained,600,579,17,4,0,0.965000,0.028333,0.006667,0.000000
charter_late,post_aft,seed42,precedence_deferrals,holdout,600,156,312,126,6,0.260000,0.520000,0.210000,0.010000
charter_late,post_aft,seed42,qual_weekly_limit,holdout,600,103,343,144,10,0.171667,0.571667,0.240000,0.016667
charter_late,post_aft,seed43,precedence_runs_year,trained,600,521,60,15,4,0.868333,0.100000,0.025000,0.006667
charter_late,post_aft,seed43,precedence_days_since,trained,600,485,85,30,0,0.808333,0.141667,0.050000,0.000000
charter_late,post_aft,seed43,precedence_registry_rank,trained,600,269,267,60,4,0.448333,0.445000,0.100000,0.006667
charter_late,post_aft,seed43,qual_specialty,trained,600,568,20,8,4,0.946667,0.033333,0.013333,0.006667
charter_late,post_aft,seed43,qual_skill,trained,600,594,4,0,2,0.990000,0.006667,0.000000,0.003333
charter_late,post_aft,seed43,precedence_deferrals,holdout,600,110,350,138,2,0.183333,0.583333,0.230000,0.003333
charter_late,post_aft,seed43,qual_weekly_limit,holdout,600,118,334,144,4,0.196667,0.556667,0.240000,0.006667
charter_late,post_aft,seed44,precedence_runs_year,trained,600,412,153,33,2,0.686667,0.255000,0.055000,0.003333
charter_late,post_aft,seed44,precedence_days_since,trained,600,367,173,58,2,0.611667,0.288333,0.096667,0.003333
charter_late,post_aft,seed44,precedence_registry_rank,trained,600,231,308,61,0,0.385000,0.513333,0.101667,0.000000
charter_late,post_aft,seed44,qual_specialty,trained,600,501,80,11,8,0.835000,0.133333,0.018333,0.013333
charter_late,post_aft,seed44,qual_skill,trained,600,501,82,13,4,0.835000,0.136667,0.021667,0.006667
charter_late,post_aft,seed44,precedence_deferrals,holdout,600,86,364,148,2,0.143333,0.606667,0.246667,0.003333
charter_late,post_aft,seed44,qual_weekly_limit,holdout,600,105,360,135,0,0.175000,0.600000,0.225000,0.000000
charter_late,post_aft,seed45,precedence_runs_year,trained,600,382,179,37,2,0.636667,0.298333,0.061667,0.003333
charter_late,post_aft,seed45,precedence_days_since,trained,600,395,155,46,4,0.658333,0.258333,0.076667,0.006667
charter_late,post_aft,seed45,precedence_registry_rank,trained,600,181,331,84,4,0.301667,0.551667,0.140000,0.006667
charter_late,post_aft,seed45,qual_specialty,trained,600,561,20,7,12,0.935000,0.033333,0.011667,0.020000
charter_late,post_aft,seed45,qual_skill,trained,600,531,50,9,10,0.885000,0.083333,0.015000,0.016667
charter_late,post_aft,seed45,precedence_deferrals,holdout,600,106,379,107,8,0.176667,0.631667,0.178333,0.013333
charter_late,post_aft,seed45,qual_weekly_limit,holdout,600,67,383,142,8,0.111667,0.638333,0.236667,0.013333
charter_late,post_aft,seed46,precedence_runs_year,trained,600,504,74,16,6,0.840000,0.123333,0.026667,0.010000
charter_late,post_aft,seed46,precedence_days_since,trained,600,458,94,46,2,0.763333,0.156667,0.076667,0.003333
charter_late,post_aft,seed46,precedence_registry_rank,trained,600,268,276,46,10,0.446667,0.460000,0.076667,0.016667
charter_late,post_aft,seed46,qual_specialty,trained,600,564,24,8,4,0.940000,0.040000,0.013333,0.006667
charter_late,post_aft,seed46,qual_skill,trained,600,572,21,3,4,0.953333,0.035000,0.005000,0.006667
charter_late,post_aft,seed46,precedence_deferrals,holdout,600,144,336,118,2,0.240000,0.560000,0.196667,0.003333
charter_late,post_aft,seed46,qual_weekly_limit,holdout,600,106,358,130,6,0.176667,0.596667,0.216667,0.010000
coin_late,pre_aft,shared,precedence_runs_year,trained,600,73,253,134,140,0.121667,0.421667,0.223333,0.233333
coin_late,pre_aft,shared,precedence_days_since,trained,600,66,247,137,150,0.110000,0.411667,0.228333,0.250000
coin_late,pre_aft,shared,precedence_registry_rank,trained,600,86,237,129,148,0.143333,0.395000,0.215000,0.246667
coin_late,pre_aft,shared,qual_specialty,trained,600,213,190,83,114,0.355000,0.316667,0.138333,0.190000
coin_late,pre_aft,shared,qual_skill,trained,600,149,211,96,144,0.248333,0.351667,0.160000,0.240000
coin_late,pre_aft,shared,precedence_deferrals,holdout,600,66,249,119,166,0.110000,0.415000,0.198333,0.276667
coin_late,pre_aft,shared,qual_weekly_limit,holdout,600,60,240,142,158,0.100000,0.400000,0.236667,0.263333
coin_late,post_aft,seed42,precedence_runs_year,trained,600,39,511,42,8,0.065000,0.851667,0.070000,0.013333
coin_late,post_aft,seed42,precedence_days_since,trained,600,35,508,45,12,0.058333,0.846667,0.075000,0.020000
coin_late,post_aft,seed42,precedence_registry_rank,trained,600,58,499,39,4,0.096667,0.831667,0.065000,0.006667
coin_late,post_aft,seed42,qual_specialty,trained,600,219,367,10,4,0.365000,0.611667,0.016667,0.006667
coin_late,post_aft,seed42,qual_skill,trained,600,98,467,33,2,0.163333,0.778333,0.055000,0.003333
coin_late,post_aft,seed42,precedence_deferrals,holdout,600,46,506,42,6,0.076667,0.843333,0.070000,0.010000
coin_late,post_aft,seed42,qual_weekly_limit,holdout,600,53,496,41,10,0.088333,0.826667,0.068333,0.016667
